ID_OKE;wojewodztwo;powiat;gmina;typ_gminy;kod_teryt_gminy;RSPO;nazwa_szkoly;miejscowosc;ulica_nr;typ_placowki;rodzaj_placowki;czy_publiczna;O_otrzymali_swiadectwo_dojrzałosci;O_liczba_zdających;O_zdawalnosc;PPP_liczba_zdajacych;PPP_liczba_laureatow;PPP_zdawalnosc;PPP_mean;PPP_std;PPP_median;PPP_mode;PPU_liczba_zdajacych;PPU_zdawalnosc;PPU_mean;APP_liczba_zdajacych;APP_liczba_laureatow;APP_zdawalnosc;APP_mean;APP_std;APP_median;APP_mode;APU_liczba_zdajacych;APU_zdawalnosc;APU_mean;MP_liczba_zdajacych;MP_liczba_laureatow;MP_zdawalnosc;MP_mean;MP_std;MP_median;MP_mode;AR_liczba_zdajacych;AR_liczba_laureatow;AR_mean;AR_std;AR_median;AR_mode;PR_liczba_zdajacych;PR_liczba_laureatow;PR_mean;PR_std;PR_median;PR_mode
1;Kujawsko-Pomorskie;aleksandrowski;Aleksandrów Kujawski;gmina miejska;0401011;12324;II LICEUM OGÓLNOKSZTAŁCĄCE W ALEKSANDROWIE KUJAWSKIM;Aleksandrów Kujawski;ul. gen. Władysława Sikorskiego 2;liceum;dla młodzieży;Tak;9;11;81.81818182;11;;81.81818182;52.45454545;19.88312961;63;65;11;100;50.90909091;11;;90.90909091;63.81818182;21.51455398;60;58;11;100;83.81818182;11;;81.81818182;49.63636364;20.24070034;48;;6;;50;20.68010316;52.5;;;;;;;
1;Kujawsko-Pomorskie;aleksandrowski;Aleksandrów Kujawski;gmina miejska;0401011;12325;TECHNIKUM NR 2 W ALEKSANDROWIE KUJAWSKIM;Aleksandrów Kujawski;ul. gen. Władysława Sikorskiego 2;technikum;dla młodzieży;Tak;25;29;86.20689655;29;;96.55172414;49.82758621;13.69890246;52;57;29;100;56.96551724;29;;89.65517241;59.34482759;22.75548568;60;38;29;100;74.37931034;29;;89.65517241;43.17241379;14.05915818;43;41;15;;40.6;17.88034302;38;25;2;;;;;
1;Kujawsko-Pomorskie;aleksandrowski;Aleksandrów Kujawski;gmina miejska;0401011;4117;LICEUM OGÓLNOKSZTAŁCĄCE TOWARZYSTWA SALEZJAŃSKIEGO IM. KARDYNAŁA AUGUSTA HLONDA;Aleksandrów Kujawski;ul. Fryderyka Chopina 24;liceum;dla młodzieży;Tak;65;66;98.48484848;66;;98.48484848;63.33333333;12.81728631;64;67;66;100;75.89393939;66;;98.48484848;80.71212121;21.19445693;89;95;66;100;84.51515152;66;;100;75.78787879;18.65111513;80;80;50;;65.56;23.22856862;69;68;16;;41.75;27.14889501;34;23
1;Kujawsko-Pomorskie;aleksandrowski;Aleksandrów Kujawski;gmina miejska;0401011;10610;TECHNIKUM NR 1 W ALEKSANDROWIE KUJAWSKIM;Aleksandrów Kujawski;ul. Stanisława Wyspiańskiego 4;technikum;dla młodzieży;Tak;32;40;80;40;;100;49.625;12.19772007;46;37;40;97.5;58.775;40;;97.5;74.175;21.75647892;81;92;40;97.5;68.35;40;;82.5;42.95;14.8878306;41;41;27;;50.51851852;23.20020813;50;28;3;;;;;
1;Kujawsko-Pomorskie;aleksandrowski;Aleksandrów Kujawski;gmina miejska;0401011;123619;SZKOŁA TECHNICZNA BYDGOSKIEGO ZAKŁADU DOSKONALENIA ZAWODOWEGO W ALEKSANDROWIE KUJAWSKIM;Aleksandrów Kujawski;ul. Długa 8;technikum;dla młodzieży;Nie;8;12;66.66666667;12;;75;38.08333333;17.17293575;41;47;12;100;50.25;12;;91.66666667;57.25;27.61679742;46.5;30;12;100;71.33333333;12;;66.66666667;30;17.94435844;24;24;3;;;;;;1;;;;;
1;Kujawsko-Pomorskie;aleksandrowski;Ciechocinek;gmina miejska;0401021;3513;LICEUM OGÓLNOKSZTAŁCĄCE IM. STANISŁAWA STASZICA W CIECHOCINKU;Ciechocinek;ul. Mikołaja Kopernika 1;liceum;dla młodzieży;Tak;17;17;100;17;;100;57.41176471;13.28005503;55;47;17;100;71.41176471;17;;100;84.17647059;21.66112075;95;97;17;100;83.35294118;17;;100;67.17647059;20.57192631;72;37;9;;76.77777778;22.07450907;88;90;3;;;;;
1;Kujawsko-Pomorskie;brodnicki;Brodnica;gmina miejska;0402011;131451;LICEUM OGÓLNOKSZTAŁCĄCE DLA DOROSŁYCH;Brodnica;ul. Karbowska 29;liceum;dla dorosłych;Tak;4;8;50;8;;87.5;40.625;10.2948713;40;;8;100;46.25;7;;85.71428571;46.57142857;17.57317065;42;;7;100;46.57142857;8;;50;27.25;9.679230341;25;24;3;;;;;;1;;;;;
1;Kujawsko-Pomorskie;brodnicki;Brodnica;gmina miejska;0402011;131392;TECHNIKUM IM. ZESŁAŃCÓW SYBIRU;Brodnica;ul. Karbowska 29;technikum;dla młodzieży;Tak;179;193;92.74611399;194;;97.40932642;54.87113402;13.879039;57;50;194;100;75.72680412;194;;97.92746114;67.17525773;23.5538472;72;98;194;100;68.92783505;194;;94.30051813;59.8814433;21.41878369;57;54;92;;51.15217391;24.6906666;47.5;22;14;;17;18.52411556;11.5;0
1;Kujawsko-Pomorskie;brodnicki;Brodnica;gmina miejska;0402011;53597;I LICEUM OGÓLNOKSZTAŁCĄCE IM. FILOMATÓW ZIEMI MICHAŁOWSKIEJ W BRODNICY;Brodnica;ul. Lidzbarska 14;liceum;dla młodzieży;Tak;94;94;100;94;;100;67.70212766;12.71523612;68;73;94;100;85.84042553;94;;100;85.5;15.50754792;92.5;97;94;100;84.29787234;94;;100;74.88297872;17.83783714;76;98;72;;67.47222222;20.88125969;69;42;24;;36.16666667;23.4177046;31.5;3
1;Kujawsko-Pomorskie;brodnicki;Brodnica;gmina miejska;0402011;6279;III LICEUM OGÓLNOKSZTAŁCĄCE W BRODNICY;Brodnica;ul. Matejki 7;liceum;dla młodzieży;Tak;106;107;99.06542056;107;;100;64.69811321;14.01223846;67.5;75;107;100;90.01869159;104;;100;84.13461538;17.75585369;91;100;104;100;85.35576923;107;;99.06542056;76.28037383;19.11489823;78;100;78;;69.42307692;22.97072788;75;88;21;;39.0952381;28.47204939;51;3
1;Kujawsko-Pomorskie;brodnicki;Górzno;miasto;0402054;53680;LICEUM OGÓLNOKSZTAŁCĄCE STOWARZYSZENIA PRZYJACIÓŁ SZKÓŁ KATOLICKICH W GÓRZNIE;Górzno;ul. Kościelna 7;liceum;dla młodzieży;Nie;5;7;71.42857143;7;;85.71428571;56.85714286;18.55823707;57;;7;100;80.42857143;6;;83.33333333;67.5;27.81935777;76.5;;6;100;77.16666667;7;;71.42857143;51;19.44956849;59;;3;;;;;;3;;;;;
1;Kujawsko-Pomorskie;brodnicki;Jabłonowo Pomorskie;miasto;0402074;109600;LICEUM OGÓLNOKSZTAŁCĄCE;Jabłonowo Pomorskie;ul. Nowy Rynek 5;liceum;dla młodzieży;Tak;7;8;87.5;8;;100;49.5;12.78671185;51;32;8;100;74.125;8;;100;69.75;24.57005291;73.5;33;8;87.5;64.875;8;;87.5;48.25;18.11594601;48;33;3;;;;;;1;;;;;
1;Kujawsko-Pomorskie;brodnicki;Jabłonowo Pomorskie;miasto;0402074;84659;TECHNIKUM;Jabłonowo Pomorskie;ul. Nowy Rynek 5;technikum;dla młodzieży;Tak;7;7;100;7;;100;60.28571429;8.859446705;58;;7;100;77.14285714;7;;100;76.14285714;18.78775111;80;;7;100;71.85714286;7;;100;66.14285714;14.18680042;67;;3;;;;;;;;;;;
