RSPO;nazwa_szkoly;publicznosc_status;wojewodztwo;powiat;gmina;typ_gminy;miejscowosc;rodzaj_miejscowości;ulica_nr;numer_budynku;kod_pocztowy;23.0_O_otrzymali_swiadectwo_dojrzałosci;23.0_O_liczba_zdających;23.0_O_zdawalnosc;23.0_polski_liczba_zdajacych;23.0_polski_liczba_laureatow;23.0_polski_zdawalnosc;23.0_polski_mean;23.0_polski_median;23.0_avg_threshold;23.0_median_threshold;24.0_O_otrzymali_swiadectwo_dojrzałosci;24.0_O_liczba_zdających;24.0_O_zdawalnosc;24.0_polski_liczba_zdajacych;24.0_polski_liczba_laureatow;24.0_polski_zdawalnosc;24.0_polski_mean;24.0_polski_median;24.0_avg_threshold;24.0_median_threshold;25.0_O_otrzymali_swiadectwo_dojrzałosci;25.0_O_liczba_zdających;25.0_O_zdawalnosc;25.0_polski_liczba_zdajacych;25.0_polski_liczba_laureatow;25.0_polski_zdawalnosc;25.0_polski_mean;25.0_polski_median;25.0_avg_threshold;25.0_median_threshold;czy_publiczna;kategoria_uczniow;data_zalozenia;data_rozpoczecia_dzialalnosci;typ_podmiotu_nadrzednego;liczba_uczniow;tereny_sportowe;jezyki_nauczane;czy_zatrudnia_logopede;czy_zatrudnia_psychologa;czy_zatrudnia_pedagoga;oddzialy_podstawowe_wg_specyfiki;oddzialy_dodatkowe
3099;lo;publiczna;ZACHODNIOPOMORSKIE;Szczecin;Szczecin;gmina miejska;szczecin;miasto;al wojska polskiego 119;"=""119""";"=""70-490""";59.0;61.0;96.72131148;61.0;;100.0;61.06557377;60.0;106.40625;109.475;43.0;48.0;89.58333333;48.0;;100.0;64.9375;67.0;106.40625;109.475;48.0;54.0;88.88888889;54.0;;100.0;60.12962963;62.0;106.40625;109.475;Tak;Dzieci lub młodzież;1991.08.31;1991.08.31;;415.0;bieżnie proste, skocznie, rzutnie, inne urządzenia sportowe, boiska uniwersalne/wielozadaniowe;angielski, niemiecki, włoski;Nie;Tak;Tak;integracyjny;
3620;xlogdynskichnauczycielibohaterowiiwojnyswiatowej;publiczna;POMORSKIE;Gdynia;Gdynia;gmina miejska;gdynia;miasto;ul wladyslawa iv 58;"=""58""";"=""81-384""";122.0;122.0;100.0;122.0;1.0;100.0;66.68032787;67.0;160.87142857142857;162.4;93.0;93.0;100.0;93.0;;100.0;76.43478261;78.0;160.87142857142857;162.4;123.0;123.0;100.0;123.0;;100.0;70.49593496;72.0;160.87142857142857;162.4;Tak;Dzieci lub młodzież;1992.08.31;1992.08.31;;474.0;boiska do koszykówki, boiska do piłki ręcznej;angielski, hiszpański, niemiecki, rosyjski;Nie;Tak;Tak;ogólnodostępny;
3640;vilowaclawasierpinskiego;publiczna;POMORSKIE;Gdynia;Gdynia;gmina miejska;gdynia;miasto;ul mikolaja kopernika 34;"=""34""";"=""81-424""";160.0;160.0;100.0;160.0;1.0;100.0;69.7;68.0;168.16875;167.75;123.0;123.0;100.0;123.0;1.0;100.0;76.40983607;77.0;168.16875;167.75;121.0;121.0;100.0;121.0;;100.0;76.10743802;77.0;168.16875;167.75;Tak;Dzieci lub młodzież;1972.04.25;1972.08.31;;572.0;boiska do siatkówki, bieżnie proste, skocznie, rzutnie, boiska uniwersalne/wielozadaniowe;angielski, francuski, hiszpański, niemiecki;Nie;Tak;Tak;ogólnodostępny;
3893;iiilomikolajakopernika;publiczna;ZACHODNIOPOMORSKIE;Szczecin;Szczecin;gmina miejska;szczecin;miasto;ul pomorska 150;"=""150""";"=""70-812""";95.0;96.0;98.95833333;96.0;;100.0;67.55208333;68.0;117.43333333333334;115.0;52.0;52.0;100.0;52.0;;100.0;70.71153846;70.0;117.43333333333334;115.0;88.0;88.0;100.0;88.0;;100.0;65.23863636;65.0;117.43333333333334;115.0;Tak;Dzieci lub młodzież;1946.08.24;1946.08.31;;513.0;boiska do piłki nożnej, bieżnie okólne, boiska uniwersalne/wielozadaniowe;angielski, niemiecki;Nie;Tak;Tak;ogólnodostępny;
3904;viiiloolimpijczykowpolskich;publiczna;ZACHODNIOPOMORSKIE;Szczecin;Szczecin;gmina miejska;szczecin;miasto;ul andrzeja malkowskiego 12;"=""12""";"=""70-306""";36.0;41.0;87.80487805;41.0;;95.12195122;56.70731707;55.0;103.475;103.475;34.0;38.0;89.47368421;38.0;;100.0;56.86842105;58.0;103.475;103.475;63.0;87.0;72.4137931;87.0;;97.70114943;57.86206897;58.0;103.475;103.475;Tak;Dzieci lub młodzież;1971.08.31;1971.08.31;Zespół szkół i placówek oświatowych;330.0;;angielski, niemiecki;Nie;Tak;Tak;ogólnodostępny, integracyjny;
3957;ixlomarszalkajozefapilsudskiego;publiczna;POMORSKIE;Gdynia;Gdynia;gmina miejska;gdynia;miasto;ul orlowska 57;"=""57""";"=""81-542""";220.0;222.0;99.0990991;222.0;;100.0;66.33484163;67.0;148.45000000000002;147.575;173.0;174.0;99.42528736;174.0;;100.0;69.54597701;71.0;148.45000000000002;147.575;138.0;139.0;99.28057554;139.0;;100.0;64.1294964;63.0;148.45000000000002;147.575;Tak;Dzieci lub młodzież;1991.08.31;1991.08.31;;719.0;boiska uniwersalne/wielozadaniowe;angielski, hiszpański, niemiecki;Nie;Nie;Nie;ogólnodostępny;
3966;vilostefanaczarnieckiego;publiczna;ZACHODNIOPOMORSKIE;Szczecin;Szczecin;gmina miejska;szczecin;miasto;ul jagiellonska 41;"=""41""";"=""70-382""";118.0;118.0;100.0;118.0;;100.0;70.12711864;72.0;149.27499999999998;150.02499999999998;92.0;92.0;100.0;92.0;;100.0;74.90217391;77.0;149.27499999999998;150.02499999999998;114.0;114.0;100.0;114.0;;100.0;70.76315789;72.0;149.27499999999998;150.02499999999998;Tak;Dzieci lub młodzież;1949.08.31;1949.08.31;;652.0;inne urządzenia sportowe, boiska uniwersalne/wielozadaniowe;angielski, niemiecki;Nie;Tak;Tak;ogólnodostępny;
4434;xxilostanislawaignacegowitkiewiczawitkacegowkrakowie;publiczna;MAŁOPOLSKIE;Kraków;Kraków-Nowa Huta;gmina miejska;krakow nowa huta;delegatura;os osiedle tysiaclecia 15;"=""15""";"=""31-606""";18.0;18.0;100.0;18.0;;100.0;79.44444444;82.0;69.55000000000001;69.55000000000001;13.0;14.0;92.85714286;14.0;;100.0;65.0;65.0;;;28.0;32.0;87.5;32.0;;100.0;70.6875;70.0;69.55000000000001;69.55000000000001;Tak;Dzieci lub młodzież;1991.06.14;1991.09.01;;143.0;;angielski, hiszpański, włoski;Nie;Nie;Tak;ogólnodostępny;
5438;iilomariikonopnickiej;publiczna;ŚLĄSKIE;Katowice;Katowice;gmina miejska;katowice;miasto;ul bartosza glowackiego 6;"=""4-6""";"=""40-052""";228.0;228.0;100.0;228.0;;100.0;73.12280702;73.0;159.54999999999998;158.7;213.0;213.0;100.0;213.0;;100.0;82.08450704;83.0;;;215.0;216.0;99.53703704;216.0;1.0;100.0;68.22222222;68.0;;;Tak;Dzieci lub młodzież;2010.09.01;2010.09.01;;963.0;boiska uniwersalne/wielozadaniowe;angielski, hiszpański, niemiecki;Nie;Tak;Tak;ogólnodostępny, dwujęzyczny w szkole podstawowej, liceum i technikum;
5449;iiiloadamamickiewicza;publiczna;ŚLĄSKIE;Katowice;Katowice;gmina miejska;katowice;miasto;ul adama mickiewicza 11;"=""11""";"=""40-092""";135.0;135.0;100.0;135.0;1.0;100.0;86.11851852;88.0;149.96666666666667;154.2;145.0;145.0;100.0;145.0;;100.0;77.09655172;78.0;149.96666666666667;154.2;169.0;169.0;100.0;169.0;1.0;100.0;73.40236686;75.0;;;Tak;Dzieci lub młodzież;2002.09.01;2002.09.01;;760.0;boiska do siatkówki, boiska do koszykówki, boiska uniwersalne/wielozadaniowe;angielski, francuski, hiszpański, niemiecki, włoski;Nie;Tak;Tak;ogólnodostępny, międzynarodowy;
5738;vlowladyslawabroniewskiego;publiczna;ŚLĄSKIE;Katowice;Katowice;gmina miejska;katowice;miasto;ul gen zygmunta waltera jankego 65;"=""65""";"=""40-615""";67.0;83.0;80.72289157;83.0;;100.0;57.14457831;57.0;106.55;106.55;37.0;46.0;80.43478261;47.0;;100.0;68.97826087;71.0;106.55;106.55;52.0;56.0;92.85714286;57.0;;100.0;63.64912281;62.0;;;Tak;Dzieci lub młodzież;2002.09.01;2002.09.01;Zespół szkół i placówek oświatowych;161.0;;angielski, niemiecki, włoski;Nie;Nie;Nie;ogólnodostępny;
