ID_OKE;wojewodztwo;powiat;gmina;typ_gminy;kod_teryt_gminy;RSPO;ID_szkoły;nazwa_szkoly;miejscowosc;ulica_nr;typ_placowki;rodzaj_placowki;czy_publiczna;O_otrzymali_swiadectwo_dojrzałosci;O_liczba_zdających;O_zdawalnosc;PPP_liczba_zdajacych;PPP_liczba_laureatow;PPP_zdawalnosc;PPP_mean;PPP_std;PPP_median;PPP_mode;PPU_liczba_zdajacych;PPU_zdawalnosc;PPU_mean;APP_liczba_zdajacych;APP_liczba_laureatow;APP_zdawalnosc;APP_mean;APP_std;APP_median;APP_mode;APU_liczba_zdajacych;APU_zdawalnosc;APU_mean;MP_liczba_zdajacych;MP_liczba_laureatow;MP_zdawalnosc;MP_mean;MP_std;MP_median;MP_mode;AR_liczba_zdajacych;AR_liczba_laureatow;AR_mean;AR_std;AR_median;AR_mode;PR_liczba_zdajacych;PR_liczba_laureatow;PR_mean;PR_std;PR_median;PR_mode
1;Kujawsko-Pomorskie;aleksandrowski;Aleksandrów Kujawski;gmina miejska;0401011;12325;040101-01348;TECHNIKUM NR 2 W ALEKSANDROWIE KUJAWSKIM;Aleksandrów Kujawski;ul. gen. Władysława Sikorskiego 2;technikum;dla młodzieży;Tak;16;21;76.19047619;21;;100;46.42857143;9.281684107;47;30;21;95.23809524;43.33333333;21;;90.47619048;61.80952381;22.88817338;62;42;21;95.23809524;62.52380952;21;;76.19047619;36.47619048;10.36302515;34;40;15;;34.8;21.55674682;27;22;;;;;;
1;Kujawsko-Pomorskie;aleksandrowski;Aleksandrów Kujawski;gmina miejska;0401011;4117;040101-0210V;LICEUM OGÓLNOKSZTAŁCĄCE TOWARZYSTWA SALEZJAŃSKIEGO IM. KARDYNAŁA AUGUSTA HLONDA;Aleksandrów Kujawski;ul. Fryderyka Chopina 24;liceum;dla młodzieży;Tak;72;75;96;75;;98.66666667;58.46666667;15.2292117;60;62;75;100;76.22666667;76;;100;80.85526316;20.93329251;89;100;75;100;83.57333333;75;;96;72.66666667;21.01258882;74;90;66;;63.5;26.00888543;72;92;15;;26.4;22.20150145;26;3
1;Kujawsko-Pomorskie;aleksandrowski;Aleksandrów Kujawski;gmina miejska;0401011;10610;040101-0332W;TECHNIKUM NR 1 W ALEKSANDROWIE KUJAWSKIM;Aleksandrów Kujawski;ul. Stanisława Wyspiańskiego 4;technikum;dla młodzieży;Tak;40;57;70.1754386;58;;91.22807018;52.17241379;17.59715683;54;48;58;92.98245614;52.75862069;58;;87.71929825;67.4137931;28.16272572;76;95;57;92.98245614;66.14035088;58;;73.68421053;43.96551724;21.63487408;42;14;47;;46.53191489;26.13943875;48;75;1;;;;;
1;Kujawsko-Pomorskie;aleksandrowski;Aleksandrów Kujawski;gmina miejska;0401011;123619;040101-0531F;SZKOŁA TECHNICZNA IM. PODPORUCZNIKA KAROLA PALCZYŃSKIEGO BYDGOSKIEGO ZAKŁADU DOSKONALENIA ZAWODOWEGO W ALEKSANDROWIE KUJAWSKIM;Aleksandrów Kujawski;ul. Długa 8;technikum;dla młodzieży;Nie;3;22;13.63636364;22;;36.36363636;23.77272727;11.80112405;22.5;12;22;100;61.5;22;;54.54545455;37.27272727;22.57549319;31.5;22;22;100;77.13636364;22;;13.63636364;17.27272727;6.620778711;18;18;14;;18.64285714;12.32075568;16;10;1;;;;;
1;Kujawsko-Pomorskie;aleksandrowski;Ciechocinek;gmina miejska;0401021;3513;040102-0110P;LICEUM OGÓLNOKSZTAŁCĄCE IM. STANISŁAWA STASZICA W CIECHOCINKU;Ciechocinek;ul. Mikołaja Kopernika 1;liceum;dla młodzieży;Tak;31;33;93.93939394;33;;100;65.21212121;16.04870914;67;63;33;100;69.27272727;32;;100;88.40625;15.41885894;94;98;32;100;91.625;33;;93.93939394;69.39393939;22.06593342;72;62;25;;80.08;13.06267966;83;63;5;;33.2;8.611620057;31;
1;Kujawsko-Pomorskie;brodnicki;Brodnica;gmina miejska;0402011;131451;040201-01134;LICEUM OGÓLNOKSZTAŁCĄCE DLA DOROSŁYCH;Brodnica;ul. Karbowska 29;liceum;dla dorosłych;Tak;5;12;41.66666667;12;;83.33333333;46.75;16.0058583;51;37;12;100;61.41666667;12;;100;55.33333333;20.82599871;51;37;12;100;53.83333333;12;;41.66666667;24.5;13.14343943;22;22;6;;24.66666667;8.749603166;24;;3;;;;;
1;Kujawsko-Pomorskie;brodnicki;Brodnica;gmina miejska;0402011;131392;040201-01376;TECHNIKUM IM. ZESŁAŃCÓW SYBIRU;Brodnica;ul. Karbowska 29;technikum;dla młodzieży;Tak;168;194;86.59793814;197;;96.39175258;52.15228426;16.08660436;55;62;195;100;76.75384615;197;;91.75257732;68.18781726;26.2556787;75;95;194;97.93814433;72.64948454;197;;89.69072165;53.91878173;24.47154159;52;58;102;;58.5;25.72697905;65;80;7;;12.57142857;17.31932977;3;0
1;Kujawsko-Pomorskie;brodnicki;Brodnica;gmina miejska;0402011;53597;040201-06100;I LICEUM OGÓLNOKSZTAŁCĄCE IM. FILOMATÓW ZIEMI MICHAŁOWSKIEJ W BRODNICY;Brodnica;ul. Lidzbarska 14;liceum;dla młodzieży;Tak;105;108;97.22222222;108;;98.14814815;62.80555556;13.89141644;64;57;108;100;86.85185185;108;;98.14814815;81.38888889;21.77061957;92.5;98;108;99.07407407;77.25925926;108;;97.22222222;65.7962963;21.01135463;62;56;85;;66.91764706;22.80413366;72;80;22;;27.66666667;20.71423098;26;3
1;Kujawsko-Pomorskie;brodnicki;Brodnica;gmina miejska;0402011;6279;040201-0711K;III LICEUM OGÓLNOKSZTAŁCĄCE W BRODNICY;Brodnica;ul. Matejki 7;liceum;dla młodzieży;Tak;112;113;99.11504425;113;;100;61.91150442;13.91793744;63;65;113;100;88.94690265;113;;100;85.55752212;14.34834519;90;95;113;100;87.40707965;113;;99.11504425;72.37168142;21.67425564;76;100;104;;64.67307692;21.31740094;65;75;13;;38.76923077;16.07268991;34;26
1;Kujawsko-Pomorskie;brodnicki;Brodnica;gmina miejska;0402011;275931;040201-077NC;BRANŻOWA SZKOŁA II STOPNIA;Brodnica;ul. Mazurska 28;branzowa;nie dotyczy;Tak;1;4;;7;;25;19;15.32504952;10;10;5;100;46;7;;25;37.85714286;32.08661747;22;;6;100;35;7;;25;16.28571429;5.799366609;16;24;4;;;;;;2;;;;;
