RSPO;nazwa_szkoly;pelna_nazwa_szkoly;publicznosc_status;wojewodztwo;powiat;gmina;typ_gminy;miejscowosc;rodzaj_miejscowości;ulica_nr;numer_budynku;kod_pocztowy;23.0_O_otrzymali_swiadectwo_dojrzałosci;23.0_O_liczba_zdających;23.0_O_zdawalnosc;23.0_polski_liczba_zdajacych;23.0_polski_liczba_laureatow;23.0_polski_zdawalnosc;23.0_polski_mean;23.0_polski_median;23.0_avg_threshold;23.0_median_threshold;24.0_O_otrzymali_swiadectwo_dojrzałosci;24.0_O_liczba_zdających;24.0_O_zdawalnosc;24.0_polski_liczba_zdajacych;24.0_polski_liczba_laureatow;24.0_polski_zdawalnosc;24.0_polski_mean;24.0_polski_median;24.0_avg_threshold;24.0_median_threshold;25.0_O_otrzymali_swiadectwo_dojrzałosci;25.0_O_liczba_zdających;25.0_O_zdawalnosc;25.0_polski_liczba_zdajacych;25.0_polski_liczba_laureatow;25.0_polski_zdawalnosc;25.0_polski_mean;25.0_polski_median;25.0_avg_threshold;25.0_median_threshold;czy_publiczna;kategoria_uczniow;data_zalozenia;data_rozpoczecia_dzialalnosci;typ_podmiotu_nadrzednego;liczba_uczniow;tereny_sportowe;jezyki_nauczane;czy_zatrudnia_logopede;czy_zatrudnia_psychologa;czy_zatrudnia_pedagoga;oddzialy_podstawowe_wg_specyfiki;oddzialy_dodatkowe
2982;loswjadwigikrolowejwkielcach;LICEUM OGÓLNOKSZTAŁCĄCE IM. ŚW. JADWIGI KRÓLOWEJ W KIELCACH;publiczna;ŚWIĘTOKRZYSKIE;Kielce;Kielce;gmina miejska;kielce;miasto;ul juliusza slowackiego 5;"=""5""";"=""25-365""";78.0;78.0;100.0;78.0;;100.0;78.62820513;79.0;;;69.0;69.0;100.0;69.0;;100.0;75.30434783;77.0;122.81666666666666;125.5;63.0;64.0;98.4375;64.0;1.0;100.0;73.296875;77.5;142.8625;142.825;Tak;Dzieci lub młodzież;2003.09.29;2004.09.01;;312.0;;angielski, francuski, łacina, niemiecki, włoski;Tak;Tak;Tak;ogólnodostępny;
3099;lo;LICEUM OGÓLNOKSZTAŁCĄCE Z ODDZIAŁAMI INTEGRACYJNYMI;publiczna;ZACHODNIOPOMORSKIE;Szczecin;Szczecin;gmina miejska;szczecin;miasto;al wojska polskiego 119;"=""119""";"=""70-490""";59.0;61.0;96.72131148;61.0;;100.0;61.06557377;60.0;115.89999999999999;112.3;43.0;48.0;89.58333333;48.0;;100.0;64.9375;67.0;107.7125;102.925;48.0;54.0;88.88888889;54.0;;100.0;60.12962963;62.0;106.40625;109.475;Tak;Dzieci lub młodzież;1991.08.31;1991.08.31;;415.0;bieżnie proste, skocznie, rzutnie, inne urządzenia sportowe, boiska uniwersalne/wielozadaniowe;angielski, niemiecki, włoski;Nie;Tak;Tak;integracyjny;
3620;xlogdynskichnauczycielibohaterowiiwojnyswiatowej;X LICEUM OGÓLNOKSZTAŁCĄCE IM. GDYŃSKICH NAUCZYCIELI BOHATERÓW II WOJNY ŚWIATOWEJ;publiczna;POMORSKIE;Gdynia;Gdynia;gmina miejska;gdynia;miasto;ul wladyslawa iv 58;"=""58""";"=""81-384""";122.0;122.0;100.0;122.0;1.0;100.0;66.68032787;67.0;165.75;167.15;93.0;93.0;100.0;93.0;;100.0;76.43478261;78.0;154.20833333333334;159.425;123.0;123.0;100.0;123.0;;100.0;70.49593496;72.0;160.87142857142857;162.4;Tak;Dzieci lub młodzież;1992.08.31;1992.08.31;;474.0;boiska do koszykówki, boiska do piłki ręcznej;angielski, hiszpański, niemiecki, rosyjski;Nie;Tak;Tak;ogólnodostępny;
3640;vilowaclawasierpinskiego;VI LICEUM OGÓLNOKSZTAŁCĄCE IM. WACŁAWA SIERPIŃSKIEGO;publiczna;POMORSKIE;Gdynia;Gdynia;gmina miejska;gdynia;miasto;ul mikolaja kopernika 34;"=""34""";"=""81-424""";160.0;160.0;100.0;160.0;1.0;100.0;69.7;68.0;165.61;164.55;123.0;123.0;100.0;123.0;1.0;100.0;76.40983607;77.0;163.775;163.075;121.0;121.0;100.0;121.0;;100.0;76.10743802;77.0;168.16875;167.75;Tak;Dzieci lub młodzież;1972.04.25;1972.08.31;;572.0;boiska do siatkówki, bieżnie proste, skocznie, rzutnie, boiska uniwersalne/wielozadaniowe;angielski, francuski, hiszpański, niemiecki;Nie;Tak;Tak;ogólnodostępny;
3893;iiilomikolajakopernika;III LICEUM OGÓLNOKSZTAŁCĄCE IM. MIKOŁAJA KOPERNIKA;publiczna;ZACHODNIOPOMORSKIE;Szczecin;Szczecin;gmina miejska;szczecin;miasto;ul pomorska 150;"=""150""";"=""70-812""";95.0;96.0;98.95833333;96.0;;100.0;67.55208333;68.0;109.85833333333333;108.675;52.0;52.0;100.0;52.0;;100.0;70.71153846;70.0;101.425;101.425;88.0;88.0;100.0;88.0;;100.0;65.23863636;65.0;117.43333333333334;115.0;Tak;Dzieci lub młodzież;1946.08.24;1946.08.31;;513.0;boiska do piłki nożnej, bieżnie okólne, boiska uniwersalne/wielozadaniowe;angielski, niemiecki;Nie;Tak;Tak;ogólnodostępny;
3904;viiiloolimpijczykowpolskich;VIII LICEUM OGÓLNOKSZTAŁCĄCE IM. OLIMPIJCZYKÓW POLSKICH;publiczna;ZACHODNIOPOMORSKIE;Szczecin;Szczecin;gmina miejska;szczecin;miasto;ul andrzeja malkowskiego 12;"=""12""";"=""70-306""";36.0;41.0;87.80487805;41.0;;95.12195122;56.70731707;55.0;84.67999999999999;87.8;34.0;38.0;89.47368421;38.0;;100.0;56.86842105;58.0;99.05000000000001;99.05000000000001;63.0;87.0;72.4137931;87.0;;97.70114943;57.86206897;58.0;103.475;103.475;Tak;Dzieci lub młodzież;1971.08.31;1971.08.31;Zespół szkół i placówek oświatowych;330.0;;angielski, niemiecki;Nie;Tak;Tak;ogólnodostępny, integracyjny;
3957;ixlomarszalkajozefapilsudskiego;IX LICEUM OGÓLNOKSZTAŁCĄCE IM. MARSZAŁKA JÓZEFA PIŁSUDSKIEGO;publiczna;POMORSKIE;Gdynia;Gdynia;gmina miejska;gdynia;miasto;ul orlowska 57;"=""57""";"=""81-542""";220.0;222.0;99.0990991;222.0;;100.0;66.33484163;67.0;134.44166666666666;135.225;173.0;174.0;99.42528736;174.0;;100.0;69.54597701;71.0;134.275;131.125;138.0;139.0;99.28057554;139.0;;100.0;64.1294964;63.0;148.45000000000002;147.575;Tak;Dzieci lub młodzież;1991.08.31;1991.08.31;;719.0;boiska uniwersalne/wielozadaniowe;angielski, hiszpański, niemiecki;Nie;Nie;Nie;ogólnodostępny;
3963;ilomsklodowskiejcurie;I LICEUM OGÓLNOKSZTAŁCĄCE IM. M. SKŁODOWSKIEJ CURIE;publiczna;ZACHODNIOPOMORSKIE;Szczecin;Szczecin;gmina miejska;szczecin;miasto;al piastow 12;"=""12""";"=""70-331""";212.0;214.0;99.06542056;214.0;;100.0;70.18224299;70.0;152.68333333333334;153.0;177.0;177.0;100.0;177.0;;100.0;73.67613636;75.0;152.48;150.7;213.0;213.0;100.0;213.0;;100.0;77.31455399;78.0;154.68333333333334;155.65;Tak;Dzieci lub młodzież;1945.08.31;1945.08.31;;1036.0;boiska do piłki ręcznej, bieżnie proste, skocznie, inne urządzenia sportowe, boiska uniwersalne/wielozadaniowe;angielski, niemiecki, włoski;Nie;Tak;Tak;ogólnodostępny;
3966;vilostefanaczarnieckiego;VI LICEUM OGÓLNOKSZTAŁCĄCE IM. STEFANA CZARNIECKIEGO;publiczna;ZACHODNIOPOMORSKIE;Szczecin;Szczecin;gmina miejska;szczecin;miasto;ul jagiellonska 41;"=""41""";"=""70-382""";118.0;118.0;100.0;118.0;;100.0;70.12711864;72.0;139.80714285714285;141.65;92.0;92.0;100.0;92.0;;100.0;74.90217391;77.0;136.76666666666668;140.9;114.0;114.0;100.0;114.0;;100.0;70.76315789;72.0;149.27499999999998;150.02499999999998;Tak;Dzieci lub młodzież;1949.08.31;1949.08.31;;652.0;inne urządzenia sportowe, boiska uniwersalne/wielozadaniowe;angielski, niemiecki;Nie;Tak;Tak;ogólnodostępny;
3974;xvlortmwitoldapileckiego;XV LICEUM OGÓLNOKSZTAŁCĄCE IM. RTM. WITOLDA PILECKIEGO;publiczna;ŚLĄSKIE;Katowice;Katowice;gmina miejska;katowice;miasto;ul obroki 87;"=""87""";"=""40-833""";26.0;37.0;70.27027027;38.0;;75.67567568;42.81578947;47.5;50.0;50.0;22.0;33.0;66.66666667;33.0;;96.96969697;51.27272727;53.0;61.4;61.4;15.0;36.0;41.66666667;38.0;;77.77777778;44.71052632;50.0;;;Tak;Dzieci lub młodzież;2008.08.27;2008.08.31;;269.0;boiska do koszykówki, boiska do piłki ręcznej, boiska do piłki nożnej, bieżnie proste, skocznie, rzutnie;angielski, niemiecki;Nie;Tak;Tak;ogólnodostępny, przygotowania wojskowego, profil mundurowy;
