year,city,school,address,course,threshold
2023/2024,Bielsku-Białej,VI Liceum Ogólnokształcące w ZSO im. AK,ul. Sternicza 4 43-300 Bielsko-Biała,Klasa 1A (humanistyczno-artystyczna),110.05
2023/2024,Bielsku-Białej,VI Liceum Ogólnokształcące w ZSO im. AK,ul. Sternicza 4 43-300 Bielsko-Biała,Klasa 1B (językowo-turystyczna),110.10
2023/2024,Bielsku-Białej,VI Liceum Ogólnokształcące w ZSO im. AK,ul. Sternicza 4 43-300 Bielsko-Biała,Klasa 1C (humanistyczno-dziennikarska),110.85
2023/2024,Bielsku-Białej,VI Liceum Ogólnokształcące w ZSO im. AK,ul. Sternicza 4 43-300 Bielsko-Biała,Klasa 1D (sportowa),50.00
2023/2024,Bielsku-Białej,VI Liceum Ogólnokształcące w ZSO im. AK,ul. Sternicza 4 43-300 Bielsko-Biała,Klasa 1E (przyrodnicza z elementami ekologii),110.95
2023/2024,Bielsku-Białej,V LO,ul. Józefa Lompy 10 43-300 Bielsko-Biała,Klasa 1A (matematyczna),173.25
2023/2024,Bielsku-Białej,V LO,ul. Józefa Lompy 10 43-300 Bielsko-Biała,Klasa 1B (informatyczna),165.55
2023/2024,Bielsku-Białej,V LO,ul. Józefa Lompy 10 43-300 Bielsko-Biała,Klasa 1C (fizyczna),167.45
2023/2024,Bielsku-Białej,V LO,ul. Józefa Lompy 10 43-300 Bielsko-Biała,Klasa 1D (ekonomiczna),169.20
2023/2024,Bielsku-Białej,V LO,ul. Józefa Lompy 10 43-300 Bielsko-Biała,Klasa 1E (informatyczna),brak danych
2023/2024,Bielsku-Białej,V LO,ul. Józefa Lompy 10 43-300 Bielsko-Biała,Klasa 1F (matematyczna),brak danych
2023/2024,Bielsku-Białej,LO nr 8,ul. Marii Konopnickiej 6 43-300 Bielsko-Biała,Klasa 1A,150.50
2023/2024,Bielsku-Białej,LO nr 8,ul. Marii Konopnickiej 6 43-300 Bielsko-Biała,Klasa 1B,158.35
2023/2024,Bielsku-Białej,LO nr 8,ul. Marii Konopnickiej 6 43-300 Bielsko-Biała,Klasa 1C,155.70
2023/2024,Bielsku-Białej,LO nr 8,ul. Marii Konopnickiej 6 43-300 Bielsko-Biała,Klasa 1D,146.25
2023/2024,Bielsku-Białej,LO nr 8,ul. Marii Konopnickiej 6 43-300 Bielsko-Biała,Klasa 1E,150.50
2023/2024,Bielsku-Białej,LO nr 8,ul. Marii Konopnickiej 6 43-300 Bielsko-Biała,Klasa 1F,155.70
2023/2024,Bielsku-Białej,LO nr 8,ul. Marii Konopnickiej 6 43-300 Bielsko-Biała,Klasa 1G,146.25
2023/2024,Bielsku-Białej,IV Liceum Ogólnokształcące im. KEN,ul. prof. dr. Mieczysława Michałowicza 55 43-300 Bielsko-Biała,Klasa 1A,137.70
2023/2024,Bielsku-Białej,IV Liceum Ogólnokształcące im. KEN,ul. prof. dr. Mieczysława Michałowicza 55 43-300 Bielsko-Biała,Klasa 1B,137.65
2023/2024,Bielsku-Białej,IV Liceum Ogólnokształcące im. KEN,ul. prof. dr. Mieczysława Michałowicza 55 43-300 Bielsko-Biała,Klasa 1C,142.40
2023/2024,Bielsku-Białej,IV Liceum Ogólnokształcące im. KEN,ul. prof. dr. Mieczysława Michałowicza 55 43-300 Bielsko-Biała,Klasa 1D,132.35
2023/2024,Bielsku-Białej,IV Liceum Ogólnokształcące im. KEN,ul. prof. dr. Mieczysława Michałowicza 55 43-300 Bielsko-Biała,Klasa 1E,137.35
2023/2024,Bielsku-Białej,IV Liceum Ogólnokształcące im. KEN,ul. prof. dr. Mieczysława Michałowicza 55 43-300 Bielsko-Biała,Klasa 1F,139.90
2023/2024,Bielsku-Białej,IV Liceum Ogólnokształcące im. KEN,ul. prof. dr. Mieczysława Michałowicza 55 43-300 Bielsko-Biała,Klasa 1G,145.15
2023/2024,Bielsku-Białej,III Liceum Ogólnokształcące z Oddziałami Dwujęzycznymi w ZSO im. Stefana Żeromskiego,ul. Bohaterów Warszawy 20 43-300 Bielsko-Biała,Klasa 1A (techniczna),156.45
2023/2024,Bielsku-Białej,III Liceum Ogólnokształcące z Oddziałami Dwujęzycznymi w ZSO im. Stefana Żeromskiego,ul. Bohaterów Warszawy 20 43-300 Bielsko-Biała,Klasa 1A2 (matematyczna),brak danych
2023/2024,Bielsku-Białej,III Liceum Ogólnokształcące z Oddziałami Dwujęzycznymi w ZSO im. Stefana Żeromskiego,ul. Bohaterów Warszawy 20 43-300 Bielsko-Biała,Klasa 1B (przyrodnicza),159.05
2023/2024,Bielsku-Białej,III Liceum Ogólnokształcące z Oddziałami Dwujęzycznymi w ZSO im. Stefana Żeromskiego,ul. Bohaterów Warszawy 20 43-300 Bielsko-Biała,Klasa 1C (prawnicza),149.10
2023/2024,Bielsku-Białej,III Liceum Ogólnokształcące z Oddziałami Dwujęzycznymi w ZSO im. Stefana Żeromskiego,ul. Bohaterów Warszawy 20 43-300 Bielsko-Biała,Klasa 1D (humanistyczna),brak danych
2023/2024,Bielsku-Białej,III Liceum Ogólnokształcące z Oddziałami Dwujęzycznymi w ZSO im. Stefana Żeromskiego,ul. Bohaterów Warszawy 20 43-300 Bielsko-Biała,Klasa 1E (ekonomiczna),162.10
2023/2024,Bielsku-Białej,II Liceum Ogólnokształcące im. A. Asnyka,ul. Jutrzenki 13 43-300 Bielsko-Biała,Klasa 1A (humanistyczna),119.05
2023/2024,Bielsku-Białej,II Liceum Ogólnokształcące im. A. Asnyka,ul. Jutrzenki 13 43-300 Bielsko-Biała,Klasa 1B (aktywności sportowej i rekreacji),124.95
2023/2024,Bielsku-Białej,II Liceum Ogólnokształcące im. A. Asnyka,ul. Jutrzenki 13 43-300 Bielsko-Biała,"Klasa 1C (społeczna: bezpieczeństwo, zarządzanie kryzysowe, ratownictwo)",127.30
2023/2024,Bielsku-Białej,II Liceum Ogólnokształcące im. A. Asnyka,ul. Jutrzenki 13 43-300 Bielsko-Biała,Klasa 1D (biologiczno-chemiczna),130.25
2023/2024,Bielsku-Białej,II Liceum Ogólnokształcące im. A. Asnyka,ul. Jutrzenki 13 43-300 Bielsko-Biała,Klasa 1E (nauk przyrodniczych),118.95
2023/2024,Bielsku-Białej,II Liceum Ogólnokształcące im. A. Asnyka,ul. Jutrzenki 13 43-300 Bielsko-Biała,Klasa 1F (psychoedukacyjna),136.30
2023/2024,Bielsku-Białej,II Liceum Ogólnokształcące im. A. Asnyka,ul. Jutrzenki 13 43-300 Bielsko-Biała,Klasa 1G (dziennikarsko-prawnicza),119.70
2023/2024,Bielsku-Białej,I Liceum Ogólnokształcące im. M. Kopernika,ul. Listopadowa 70 43-300 Bielsko-Biała,Klasa 1A,159.25
2023/2024,Bielsku-Białej,I Liceum Ogólnokształcące im. M. Kopernika,ul. Listopadowa 70 43-300 Bielsko-Biała,Klasa 1B,156.25
2023/2024,Bielsku-Białej,I Liceum Ogólnokształcące im. M. Kopernika,ul. Listopadowa 70 43-300 Bielsko-Biała,Klasa 1C,146.15
2023/2024,Bielsku-Białej,I Liceum Ogólnokształcące im. M. Kopernika,ul. Listopadowa 70 43-300 Bielsko-Biała,Klasa 1D,164.10
2023/2024,Bielsku-Białej,I Liceum Ogólnokształcące im. M. Kopernika,ul. Listopadowa 70 43-300 Bielsko-Biała,Klasa 1E,149.60
2023/2024,Bielsku-Białej,I Liceum Ogólnokształcące im. M. Kopernika,ul. Listopadowa 70 43-300 Bielsko-Biała,Klasa 1F,173.50
2023/2024,Bielsku-Białej,I Liceum Ogólnokształcące im. M. Kopernika,ul. Listopadowa 70 43-300 Bielsko-Biała,Klasa 1H,162.80
2023/2024,Bydgoszczy,I LO im. Cypriana Kamila Norwida,ul. Plac Wolności 9 85-004 Bydgoszcz Śródmieście,Klasa 1 (humanistyczno-prawna z elementami amerykanistyki),150.25
2023/2024,Bydgoszczy,I LO im. Cypriana Kamila Norwida,ul. Plac Wolności 9 85-004 Bydgoszcz Śródmieście,Klasa 1 (humanistyczno-prawna),133.25
2023/2024,Bydgoszczy,I LO im. Cypriana Kamila Norwida,ul. Plac Wolności 9 85-004 Bydgoszcz Śródmieście,Klasa 1 (lingwistyczna),159.70
2023/2024,Bydgoszczy,I LO im. Cypriana Kamila Norwida,ul. Plac Wolności 9 85-004 Bydgoszcz Śródmieście,Klasa 1 (matematyczno-fizyczno-informatyczna),159.00
2023/2024,Bydgoszczy,I LO im. Cypriana Kamila Norwida,ul. Plac Wolności 9 85-004 Bydgoszcz Śródmieście,Klasa 1 (matematyczno-geograficzna),154.35
2023/2024,Bydgoszczy,I LO im. Cypriana Kamila Norwida,ul. Plac Wolności 9 85-004 Bydgoszcz Śródmieście,Klasa 1 (medyczna),148.20
2023/2024,Bydgoszczy,I LO im. Cypriana Kamila Norwida,ul. Plac Wolności 9 85-004 Bydgoszcz Śródmieście,Klasa 1 (medyczna),165.85
2023/2024,Bydgoszczy,II LO im. Mikołaja Kopernika,ul. Nowodworska 13 85-120 Bydgoszcz Śródmieście,Klasa 1 (biologiczno-chemiczna),147.65
2023/2024,Bydgoszczy,II LO im. Mikołaja Kopernika,ul. Nowodworska 13 85-120 Bydgoszcz Śródmieście,Klasa 1 (humanistyczna),135.35
2023/2024,Bydgoszczy,II LO im. Mikołaja Kopernika,ul. Nowodworska 13 85-120 Bydgoszcz Śródmieście,Klasa 1 (matematyczno-fizyczno-informatyczna),135.55
2023/2024,Bydgoszczy,II LO im. Mikołaja Kopernika,ul. Nowodworska 13 85-120 Bydgoszcz Śródmieście,Klasa 1 (matematyczno-przyrodnicza),129.70
2023/2024,Bydgoszczy,II LO im. Mikołaja Kopernika,ul. Nowodworska 13 85-120 Bydgoszcz Śródmieście,Klasa 1 (medyczna),144.65
2023/2024,Bydgoszczy,III LO im. Adama Mickiewicza,ul. Nowogrodzka 3 85-208 Bydgoszcz Okole,Klasa 1a medyczna,154.60
2023/2024,Bydgoszczy,III LO im. Adama Mickiewicza,ul. Nowogrodzka 3 85-208 Bydgoszcz Okole,Klasa 1b humanistyczna z elementami prawa i podstaw dyplomacji,143.90
2023/2024,Bydgoszczy,III LO im. Adama Mickiewicza,ul. Nowogrodzka 3 85-208 Bydgoszcz Okole,Klasa 1c turystyczno-lingwistyczna,159.80
2023/2024,Bydgoszczy,III LO im. Adama Mickiewicza,ul. Nowogrodzka 3 85-208 Bydgoszcz Okole,Klasa 1d politechniczna,149.20
2023/2024,Bydgoszczy,IV LO im. Kazimierza Wielkiego,ul. Stawowa 39 85-323 Bydgoszcz Błonie,Klasa biologiczno-medyczna,155.60
2023/2024,Bydgoszczy,IV LO im. Kazimierza Wielkiego,ul. Stawowa 39 85-323 Bydgoszcz Błonie,Klasa humanistyczno-kulturoznawcza,137.40
2023/2024,Bydgoszczy,IV LO im. Kazimierza Wielkiego,ul. Stawowa 39 85-323 Bydgoszcz Błonie,Klasa matematyczno-przyrodnicza,167.00
2023/2024,Bydgoszczy,IV LO im. Kazimierza Wielkiego,ul. Stawowa 39 85-323 Bydgoszcz Błonie,Klasa przyrodniczo-turystyczna,155.35
2023/2024,Bydgoszczy,V LO im. Leona Kruczkowskiego,ul. Szarych Szeregów 4a 85-829 Bydgoszcz Kapuściska,Klasa 1a (biologiczno-chemiczna),128.35
2023/2024,Bydgoszczy,V LO im. Leona Kruczkowskiego,ul. Szarych Szeregów 4a 85-829 Bydgoszcz Kapuściska,Klasa 1b (humanistyczna),118.35
2023/2024,Bydgoszczy,V LO im. Leona Kruczkowskiego,ul. Szarych Szeregów 4a 85-829 Bydgoszcz Kapuściska,Klasa 1c (lingwistyczna),123.10
2023/2024,Bydgoszczy,V LO im. Leona Kruczkowskiego,ul. Szarych Szeregów 4a 85-829 Bydgoszcz Kapuściska,Klasa 1d (lingwistyczno-turystyczna),127.95
2023/2024,Bydgoszczy,V LO im. Leona Kruczkowskiego,ul. Szarych Szeregów 4a 85-829 Bydgoszcz Kapuściska,Klasa 1e (psychologiczna),125.80
2023/2024,Bydgoszczy,VI LO im. Jana I Jędrzeja Śniadeckich,ul. Stanisława Staszica 4 85-014 Bydgoszcz Śródmieście,Klasa Ia matematyczno-fizyczno-informatyczna TALES,91.90
