RSPO;nazwa_szkoly;miejscowosc;wojewodztwo;publicznosc_status;prog;wynik;zdawalnosc;n_zdajacych;res_prog_wynik;res_wynik_zdaw;outlier_score;grupa;kategoria_uczniow;typ_gminy;liczba_uczniow
2982;loswjadwigikrolowejwkielcach;kielce;ŚWIĘTOKRZYSKIE;publiczna;142.8625;75.30434783;100.0;69.0;5.409999490717539;;;Srodek;Dzieci lub młodzież;gmina miejska;312.0
3099;lo;szczecin;ZACHODNIOPOMORSKIE;publiczna;106.40625;64.9375;89.58333333;48.0;2.0747404798697318;;;Srodek;Dzieci lub młodzież;gmina miejska;415.0
3620;xlogdynskichnauczycielibohaterowiiwojnyswiatowej;gdynia;POMORSKIE;publiczna;160.87142857142857;76.43478261;100.0;93.0;3.0669179110325047;;;Srodek;Dzieci lub młodzież;gmina miejska;474.0
3640;vilowaclawasierpinskiego;gdynia;POMORSKIE;publiczna;168.16875;76.40983607;100.0;123.0;1.634482565494281;;;Srodek;Dzieci lub młodzież;gmina miejska;572.0
3893;iiilomikolajakopernika;szczecin;ZACHODNIOPOMORSKIE;publiczna;117.43333333333334;70.71153846;100.0;52.0;5.721903140122734;;;Srodek;Dzieci lub młodzież;gmina miejska;513.0
3904;viiiloolimpijczykowpolskich;szczecin;ZACHODNIOPOMORSKIE;publiczna;103.475;56.86842105;89.47368421;38.0;-5.428966422096259;;;Srodek;Dzieci lub młodzież;gmina miejska;330.0
3957;ixlomarszalkajozefapilsudskiego;gdynia;POMORSKIE;publiczna;148.45000000000002;69.54597701;99.42528736;174.0;-1.4260741244688262;;;Srodek;Dzieci lub młodzież;gmina miejska;719.0
3963;ilomsklodowskiejcurie;szczecin;ZACHODNIOPOMORSKIE;publiczna;154.68333333333334;73.67613636;100.0;177.0;1.5018157388803246;;;Srodek;Dzieci lub młodzież;gmina miejska;1036.0
3966;vilostefanaczarnieckiego;szczecin;ZACHODNIOPOMORSKIE;publiczna;149.27499999999998;74.90217391;100.0;92.0;3.77099887288621;;;Srodek;Dzieci lub młodzież;gmina miejska;652.0
3974;xvlortmwitoldapileckiego;katowice;ŚLĄSKIE;publiczna;61.4;51.27272727;66.66666667;33.0;-2.9093411672029816;;;Srodek;Dzieci lub młodzież;gmina miejska;269.0
