index,school,city,threshold,address,city_clean,threshold_idx,RSPO,match_score,matched_nazwa,nazwa_szkoły,miejscowosc,PPP_mean,O_zdawalnosc,match_key,organ_prowadzacy,wojewodztwo,liczba_uczniow,miejscowosc_rspo,nazwa_rspo,specyfika,diff_polski_zdawalnosc,abs_diff_polski_zdawalnosc,expected_PPP,threshold_discrepancy,abs_threshold_discrepancy
128,LV Liceum Ogólnokształcące w Zespole Szkół Elektroniczno-informatycznych im. Jana Szczepanika,Łodzi,59.3,ul. Strykowska 10/18 91-725 Łódź Bałuty,Łódź,128,38983,78,TECHNIKUM NR 10 W ZESPOLE SZKÓŁ ELEKTRONICZNO-INFORMATYCZNYCH IM. JANA SZCZEPANIKA,TECHNIKUM NR 10 W ZESPOLE SZKÓŁ ELEKTRONICZNO-INFORMATYCZNYCH IM. JANA SZCZEPANIKA,Łódź,57.93244838,99.583333335,technikum nr 10 w zespole szkół elektroniczno-informatycznych im. jana szczepanika,Miasto na prawach powiatu,ŁÓDZKIE,550.0,Łódź-Bałuty,TECHNIKUM NR 10 W ZESPOLE SZKÓŁ ELEKTRONICZNO-INFORMATYCZNYCH IM. JANA SZCZEPANIKA,"ogólnodostępny, wielozawodowy",-41.65088495500001,41.65088495500001,54.627130336042526,3.3053180439574703,3.3053180439574703
325,XVI Liceum Ogólnokształcące w Szczecinie,Szczecinie,143.01999999999998,ul. Xawerego Dunikowskiego 1 70-123 Szczecin,Szczecin,325,262227,100,XVI LICEUM OGÓLNOKSZTAŁCĄCE W SZCZECINIE,XVI LICEUM OGÓLNOKSZTAŁCĄCE W SZCZECINIE,Szczecin,59.89341560333333,98.20711359,xvi liceum ogólnokształcące w szczecinie,Miasto na prawach powiatu,ZACHODNIOPOMORSKIE,577.0,Szczecin,XVI LICEUM OGÓLNOKSZTAŁCĄCE W SZCZECINIE,ogólnodostępny,-38.313697986666675,38.313697986666675,69.14687808179349,-9.253462478460158,9.253462478460158
295,XLII LO im. Ireny Sendlerowej,Łodzi,54.85,ul. Stawowa 28 91-358 Łódź Bałuty,Łódź,295,27325,74,XLII LICEUM OGÓLNOKSZTAŁCĄCE IM. IRENY SENDLEROWEJ,XLII LICEUM OGÓLNOKSZTAŁCĄCE IM. IRENY SENDLEROWEJ,Łódź,48.24470344333333,86.28593628666665,xlii liceum ogólnokształcące im. ireny sendlerowej,Miasto na prawach powiatu,ŁÓDZKIE,490.0,Łódź-Bałuty,XLII LICEUM OGÓLNOKSZTAŁCĄCE IM. IRENY SENDLEROWEJ,ogólnodostępny,-38.041232843333326,38.041232843333326,53.85535683546212,-5.610653392128789,5.610653392128789
257,XI Liceum Ogólnokształcące,Łodzi,127.66666666666669,ul. dr. Stefana Kopcińskiego 54 90-032 Łódź Widzew,Łódź,257,267033,100,XI LICEUM OGÓLNOKSZTAŁCĄCE,XI LICEUM OGÓLNOKSZTAŁCĄCE,Łódź,60.97101370666667,97.96474359,xi liceum ogólnokształcące,Miasto na prawach powiatu,ŁÓDZKIE,626.0,Łódź-Widzew,XI LICEUM OGÓLNOKSZTAŁCĄCE IM. JÓZEFA PIŁSUDSKIEGO,"ogólnodostępny, dwujęzyczny w szkole podstawowej, liceum i technikum",-36.99372988333333,36.99372988333333,66.48411497791832,-5.5131012712516565,5.5131012712516565
344,XX Liceum Ogólnokształcące w Lublinie,Lublinie,92.75,ul. Kazimierza Tumidajskiego 6a 20-247 Lublin,Lublin,344,79336,100,XX LICEUM OGÓLNOKSZTAŁCĄCE W LUBLINIE,XX LICEUM OGÓLNOKSZTAŁCĄCE W LUBLINIE,Lublin,58.127272725,95.0,xx liceum ogólnokształcące w lublinie,Miasto na prawach powiatu,LUBELSKIE,19.0,Lublin,XX LICEUM OGÓLNOKSZTAŁCĄCE W LUBLINIE,ogólnodostępny,-36.872727275,36.872727275,60.4284390089447,-2.3011662839447027,2.3011662839447027
340,XX LO im. Juliusza Słowackiego,Łodzi,94.38333333333334,ul. Karola Bohdanowicza 11 93-552 Łódź Górna,Łódź,340,25445,74,XX LICEUM OGÓLNOKSZTAŁCĄCE IM. JULIUSZA SŁOWACKIEGO,XX LICEUM OGÓLNOKSZTAŁCĄCE IM. JULIUSZA SŁOWACKIEGO,Łódź,60.9663656,97.79167571666666,xx liceum ogólnokształcące im. juliusza słowackiego,Miasto na prawach powiatu,ŁÓDZKIE,578.0,Łódź-Górna,XX LICEUM OGÓLNOKSZTAŁCĄCE IM. JULIUSZA SŁOWACKIEGO,ogólnodostępny,-36.82531011666666,36.82531011666666,60.71171167956972,0.254653920430286,0.254653920430286
403,Zespół Szkół Ogólnokształcących Nr 8 im. w Gdańsku - XIV Liceum Ogólnokształcące im. Jana Pawła Ii,Gdańsku,135.45000000000002,ul. Janusza Meissnera 9 80-462 Gdańsk,Gdańsk,403,15300,100,ZESPÓŁ SZKÓŁ OGÓLNOKSZTAŁCĄCYCH NR 8 IM. W GDAŃSKU - XIV LICEUM OGÓLNOKSZTAŁCĄCE IM. JANA PAWŁA II,ZESPÓŁ SZKÓŁ OGÓLNOKSZTAŁCĄCYCH NR 8 IM. W GDAŃSKU - XIV LICEUM OGÓLNOKSZTAŁCĄCE IM. JANA PAWŁA II,Gdańsk,56.83791329333334,93.52492917666666,zespół szkół ogólnokształcących nr 8 im. w gdańsku - xiv liceum ogólnokształcące im. jana pawła ii,Miasto na prawach powiatu,POMORSKIE,591.0,Gdańsk,ZESPÓŁ SZKÓŁ OGÓLNOKSZTAŁCĄCYCH NR 8 IM. W GDAŃSKU - XIV LICEUM OGÓLNOKSZTAŁCĄCE IM. JANA PAWŁA II,ogólnodostępny,-36.68701588333332,36.68701588333332,67.8339959695702,-10.99608267623686,10.99608267623686
215,VII Liceum Ogólnokształcace,Rzeszowie,90.90000000000002,al. Tadeusza Rejtana 3 35-326 Rzeszów,Rzeszów,215,18119,100,VII LICEUM OGÓLNOKSZTAŁCACE,VII LICEUM OGÓLNOKSZTAŁCACE,Rzeszów,56.590277776666674,92.66975308666667,vii liceum ogólnokształcace,Miasto na prawach powiatu,PODKARPACKIE,231.0,Rzeszów,VII LICEUM OGÓLNOKSZTAŁCACE,ogólnodostępny,-36.07947531,36.07947531,60.10758935140004,-3.5173115747333625,3.5173115747333625
383,XXX LO im. ks. bpa Ignacego Krasickiego,Łodzi,95.88333333333334,ul. gen. Józefa Sowińskiego 50/56 91-485 Łódź Bałuty,Łódź,383,25439,77,XXX LICEUM OGÓLNOKSZTAŁCĄCE IM. KS. BP. IGNACEGO KRASICKIEGO,XXX LICEUM OGÓLNOKSZTAŁCĄCE IM. KS. BP. IGNACEGO KRASICKIEGO,Łódź,57.69762750666666,93.63387371333332,xxx liceum ogólnokształcące im. ks. bp. ignacego krasickiego,Miasto na prawach powiatu,ŁÓDZKIE,449.0,Łódź-Bałuty,XXX LICEUM OGÓLNOKSZTAŁCĄCE IM. KS. BP. IGNACEGO KRASICKIEGO,ogólnodostępny,-35.93624620666665,35.93624620666665,60.97186005055188,-3.274232543885219,3.274232543885219
121,LI LO im. Tadeusza Kościuszki,Warszawie,105.975,ul. Kadrowa 9 04-421 Warszawa Rembertów,Warszawa,121,59581,74,LI LICEUM OGÓLNOKSZTAŁCĄCE IM. TADEUSZA KOŚCIUSZKI,LI LICEUM OGÓLNOKSZTAŁCĄCE IM. TADEUSZA KOŚCIUSZKI,Warszawa,63.12782467,98.91444818,li liceum ogólnokształcące im. tadeusza kościuszki,Miasto na prawach powiatu,MAZOWIECKIE,505.0,Rembertów,LI LICEUM OGÓLNOKSZTAŁCĄCE IM. TADEUSZA KOŚCIUSZKI,ogólnodostępny,-35.78662350999999,35.78662350999999,62.722080479770746,0.4057441902292567,0.4057441902292567
