index,school,city,threshold,address,city_clean,threshold_idx,RSPO,match_score,matched_nazwa,nazwa_szkoły,miejscowosc,PPP_mean,O_zdawalnosc,match_key,organ_prowadzacy,wojewodztwo,liczba_uczniow,miejscowosc_rspo,nazwa_rspo,specyfika,diff_polski_zdawalnosc,abs_diff_polski_zdawalnosc,expected_PPP,threshold_discrepancy,abs_threshold_discrepancy
282,XIV LO im. Stanisława Staszica,Warszawie,241.2785714285714,ul. Nowowiejska 37a 02-010 Warszawa Ochota,Warszawa,282,27160,75,TECHNIKUM NR 25 IM. STANISŁAWA STASZICA,TECHNIKUM NR 25 IM. STANISŁAWA STASZICA,Warszawa,52.77160494,81.787974685,technikum nr 25 im. stanisława staszica,Miasto na prawach powiatu,MAZOWIECKIE,643.0,Bielany,TECHNIKUM NR 25 IM. STANISŁAWA STASZICA,ogólnodostępny,-29.01636974499999,29.01636974499999,86.1880829432449,-33.41647800324489,33.41647800324489
13,CLXVI Liceum Ogólnokształcące Z Oddziałami Sportowymi,Warszawie,205.4625,ul. Koncertowa 4 02-787 Warszawa Ursynów,Warszawa,13,25173,75,XCII LICEUM OGÓLNOKSZTAŁCĄCE Z ODDZIAŁAMI INTEGRACYJNYMI,XCII LICEUM OGÓLNOKSZTAŁCĄCE Z ODDZIAŁAMI INTEGRACYJNYMI,Warszawa,59.46868823,88.99707396000001,xcii liceum ogólnokształcące z oddziałami integracyjnymi,Miasto na prawach powiatu,MAZOWIECKIE,322.0,Wola,XCII LICEUM OGÓLNOKSZTAŁCĄCE Z ODDZIAŁAMI INTEGRACYJNYMI,"ogólnodostępny, integracyjny",-29.52838573000001,29.52838573000001,79.97642118516252,-20.507732955162524,20.507732955162524
173,V LO im. Krzysztofa Kieślowskiego,Zielonej,166.16666666666666,ul. Zachodnia 63 65-552 Zielona Góra Gumieńce,Zielonej,173,25627,73,XXXIV LICEUM OGÓLNOKSZTAŁCĄCE IM. KRZYSZTOFA KIEŚLOWSKIEGO,XXXIV LICEUM OGÓLNOKSZTAŁCĄCE IM. KRZYSZTOFA KIEŚLOWSKIEGO,Łódź,56.88828971,91.52765794333334,xxxiv liceum ogólnokształcące im. krzysztofa kieślowskiego,Miasto na prawach powiatu,ŁÓDZKIE,386.0,Łódź-Polesie,XXXIV LICEUM OGÓLNOKSZTAŁCĄCE IM. KRZYSZTOFA KIEŚLOWSKIEGO,ogólnodostępny,-34.639368233333336,34.639368233333336,73.16125649979377,-16.272966789793763,16.272966789793763
210,VII LO im. Mikołaja Kopernika,Częstochowie,128.35,ul. Feliksa Nowowiejskiego 18 42-217 Częstochowa Śródmieście,Częstochowie,210,72981,78,TECHNIKUM IM. MIKOŁAJA KOPERNIKA,TECHNIKUM IM. MIKOŁAJA KOPERNIKA,Nasielsk,51.876090115,72.842261905,technikum im. mikołaja kopernika,Powiat ziemski,MAZOWIECKIE,162.0,Nasielsk,TECHNIKUM IM. MIKOŁAJA KOPERNIKA,"ogólnodostępny, wielozawodowy",-20.966171790000004,20.966171790000004,66.60262701358796,-14.726536898587966,14.726536898587966
16,CXI LO z Oddziałami Integracyjnymi im. Stefana Kisielewskiego,Warszawie,103.4,ul. Szczawnicka 1 04-089 Warszawa Praga-Południe,Warszawa,16,24585,84,CXI LICEUM OGÓLNOKSZTAŁCĄCE Z ODDZIAŁAMI INTEGRACYJNYMI IM. STEFANA KISIELEWSKIEGO,CXI LICEUM OGÓLNOKSZTAŁCĄCE Z ODDZIAŁAMI INTEGRACYJNYMI IM. STEFANA KISIELEWSKIEGO,Warszawa,50.11611517666668,61.33540372666667,cxi liceum ogólnokształcące z oddziałami integracyjnymi im. stefana kisielewskiego,Miasto na prawach powiatu,MAZOWIECKIE,303.0,Praga-Południe,CXI LICEUM OGÓLNOKSZTAŁCĄCE Z ODDZIAŁAMI INTEGRACYJNYMI IM. STEFANA KISIELEWSKIEGO,"ogólnodostępny, integracyjny",-11.219288549999987,11.219288549999987,62.275492442918036,-12.159377266251354,12.159377266251354
182,V LO im. płk. Stanisława Dąbka,Gdyni,134.2875,ul. Arendta Dickmana 14 81-109 Gdynia Oksywa,Gdyni,182,25697,74,V LICEUM OGÓLNOKSZTAŁCĄCE IM.PŁK.STANISŁAWA DĄBKA,V LICEUM OGÓLNOKSZTAŁCĄCE IM.PŁK.STANISŁAWA DĄBKA,Gdynia,55.77935935333333,90.74281622666666,v liceum ogólnokształcące im.płk.stanisława dąbka,Miasto na prawach powiatu,POMORSKIE,553.0,Gdynia,V LICEUM OGÓLNOKSZTAŁCĄCE IM.PŁK.STANISŁAWA DĄBKA,ogólnodostępny,-34.963456873333335,34.963456873333335,67.63238098205902,-11.853021628725692,11.853021628725692
23,Europejskie Liceum Ogólnokształcące we Wrocławiu,Wroclaw,57.625,Wrocław ul. Marszowicka 150 54-078,Wrocław,23,21328,80,"ZAOCZNE LICEUM OGÓLNOKSZTAŁCĄCE ""COSINUS"" WE WROCŁAWIU","ZAOCZNE LICEUM OGÓLNOKSZTAŁCĄCE ""COSINUS"" WE WROCŁAWIU",Wrocław,42.494222750000006,32.61682243,"zaoczne liceum ogólnokształcące ""cosinus"" we wrocławiu",Fundacje,DOLNOŚLĄSKIE,1145.0,Wrocław-Krzyki,"ZAOCZNE LICEUM OGÓLNOKSZTAŁCĄCE ""COSINUS"" WE WROCŁAWIU",ogólnodostępny,9.877400320000007,9.877400320000007,54.336631321779116,-11.84240857177911,11.84240857177911
403,Zespół Szkół Ogólnokształcących Nr 8 im. w Gdańsku - XIV Liceum Ogólnokształcące im. Jana Pawła Ii,Gdańsku,135.45000000000002,ul. Janusza Meissnera 9 80-462 Gdańsk,Gdańsk,403,15300,100,ZESPÓŁ SZKÓŁ OGÓLNOKSZTAŁCĄCYCH NR 8 IM. W GDAŃSKU - XIV LICEUM OGÓLNOKSZTAŁCĄCE IM. JANA PAWŁA II,ZESPÓŁ SZKÓŁ OGÓLNOKSZTAŁCĄCYCH NR 8 IM. W GDAŃSKU - XIV LICEUM OGÓLNOKSZTAŁCĄCE IM. JANA PAWŁA II,Gdańsk,56.83791329333334,93.52492917666666,zespół szkół ogólnokształcących nr 8 im. w gdańsku - xiv liceum ogólnokształcące im. jana pawła ii,Miasto na prawach powiatu,POMORSKIE,591.0,Gdańsk,ZESPÓŁ SZKÓŁ OGÓLNOKSZTAŁCĄCYCH NR 8 IM. W GDAŃSKU - XIV LICEUM OGÓLNOKSZTAŁCĄCE IM. JANA PAWŁA II,ogólnodostępny,-36.68701588333332,36.68701588333332,67.8339959695702,-10.99608267623686,10.99608267623686
256,XI Liceum Ogólnokształcące,Rzeszowie,83.2,ul. Klementyny Hoffmanowej 13 35-016 Rzeszów,Rzeszów,256,24373,98,X LICEUM OGÓLNOKSZTAŁCĄCE,X LICEUM OGÓLNOKSZTAŁCĄCE,Rzeszów,47.86203007666666,73.22055137666666,x liceum ogólnokształcące,Miasto na prawach powiatu,PODKARPACKIE,259.0,Rzeszów,X LICEUM OGÓLNOKSZTAŁCĄCE,"ogólnodostępny, przygotowania wojskowego",-25.3585213,25.3585213,58.772161047024944,-10.910130970358281,10.910130970358281
44,I Liceum Ogólnokształcące im. M. Kopernika,Bielsku-Białej,163.47,ul. Listopadowa 70 43-300 Bielsko-Biała,Bielsku-Białej,44,9380,99,II LICEUM OGÓLNOKSZTAŁCĄCE IM M. KOPERNIKA,II LICEUM OGÓLNOKSZTAŁCĄCE IM M. KOPERNIKA,Włocławek,61.831892970000006,96.69757801666668,ii liceum ogólnokształcące im m. kopernika,Miasto na prawach powiatu,KUJAWSKO-POMORSKIE,563.0,Włocławek,II LICEUM OGÓLNOKSZTAŁCĄCE IM M. KOPERNIKA,ogólnodostępny,-34.86568504666668,34.86568504666668,72.69356753951695,-10.861674569516943,10.861674569516943
