index,school,city,threshold,address,city_clean,threshold_idx,RSPO,match_score,matched_nazwa,nazwa_szkoły,miejscowosc,PPP_mean,O_zdawalnosc,match_key,organ_prowadzacy,wojewodztwo,liczba_uczniow,miejscowosc_rspo,nazwa_rspo,specyfika
1,CII LO z Oddziałami Integracyjnymi im. Księdza Józefa Woźniaka,Warszawie,109.8,Warszawa ul. Bartnicza 2 03-358,Warszawa,1,56463,84,CII LICEUM OGÓLNOKSZTAŁCĄCE Z ODDZIAŁAMI INTEGRACYJNYMI IM. KSIĘDZA JÓZEFA WOŹNIAKA,CII LICEUM OGÓLNOKSZTAŁCĄCE Z ODDZIAŁAMI INTEGRACYJNYMI IM. KSIĘDZA JÓZEFA WOŹNIAKA,Warszawa,57.98411014333333,64.98042187333333,cii liceum ogólnokształcące z oddziałami integracyjnymi im. księdza józefa woźniaka,Miasto na prawach powiatu,MAZOWIECKIE,312.0,Targówek,CII LICEUM OGÓLNOKSZTAŁCĄCE Z ODDZIAŁAMI INTEGRACYJNYMI IM. KSIĘDZA JÓZEFA WOŹNIAKA,integracyjny
2,CLIX LO im. Króla Jana III Sobieskiego,Warszawie,160.501,ul. Solipska 17/19 02-482 Warszawa Włochy,Warszawa,2,133795,78,CLIX LICEUM OGÓLNOKSZTAŁCĄCE IM. KRÓLA JANA III SOBIESKIEGO,CLIX LICEUM OGÓLNOKSZTAŁCĄCE IM. KRÓLA JANA III SOBIESKIEGO,Warszawa,71.75538206333333,99.84276729666665,clix liceum ogólnokształcące im. króla jana iii sobieskiego,Miasto na prawach powiatu,MAZOWIECKIE,810.0,Włochy,CLIX LICEUM OGÓLNOKSZTAŁCĄCE IM. KRÓLA JANA III SOBIESKIEGO,"ogólnodostępny, dwujęzyczny w szkole podstawowej, liceum i technikum"
3,CLV LO z Oddziałami Dwujęzycznymi im. Bohaterek Powstania Warszawskiego,Warszawie,146.23999999999998,ul. Wojciecha Żywnego 25 02-701 Warszawa,Warszawa,3,133453,86,CLV LICEUM OGÓLNOKSZTAŁCĄCE Z ODDZIAŁAMI DWUJĘZYCZNYMI IM. BOHATEREK POWSTANIA WARSZAWSKIEGO,CLV LICEUM OGÓLNOKSZTAŁCĄCE Z ODDZIAŁAMI DWUJĘZYCZNYMI IM. BOHATEREK POWSTANIA WARSZAWSKIEGO,Warszawa,78.53552133,100.0,clv liceum ogólnokształcące z oddziałami dwujęzycznymi im. bohaterek powstania warszawskiego,Miasto na prawach powiatu,MAZOWIECKIE,773.0,Mokotów,CLV LICEUM OGÓLNOKSZTAŁCĄCE Z ODDZIAŁAMI DWUJĘZYCZNYMI IM. BOHATEREK POWSTANIA WARSZAWSKIEGO,"ogólnodostępny, dwujęzyczny w szkole podstawowej, liceum i technikum"
5,CLVII LO im. Marii Skłodowskiej - Curie,Warszawie,166.92857142857142,ul. Świętokrzyska 18A 00-052 Warszawa Śródmieście,Warszawa,5,263334,76,CLVII LICEUM OGÓLNOKSZTAŁCĄCE IM. MARII SKŁODOWSKIEJ-CURIE,CLVII LICEUM OGÓLNOKSZTAŁCĄCE IM. MARII SKŁODOWSKIEJ-CURIE,Warszawa,77.63825829,100.0,clvii liceum ogólnokształcące im. marii skłodowskiej-curie,Miasto na prawach powiatu,MAZOWIECKIE,735.0,Śródmieście,CLVII LICEUM OGÓLNOKSZTAŁCĄCE IM. MARII SKŁODOWSKIEJ-CURIE,ogólnodostępny
6,CLVIII LO z Oddziałami Dwujęzycznymi im. Księżnej Izabeli Czartoryjskiej,Warszawie,167.92,ul. Stefana Szolc-Rogozińskiego 2 02-777 Warszawa Ursynów,Warszawa,6,133365,86,CLVIII LICEUM OGÓLNOKSZTAŁCĄCE Z ODDZIAŁAMI DWUJĘZYCZNYMI IM. KSIĘŻNEJ IZABELI CZARTORYSKIEJ,CLVIII LICEUM OGÓLNOKSZTAŁCĄCE Z ODDZIAŁAMI DWUJĘZYCZNYMI IM. KSIĘŻNEJ IZABELI CZARTORYSKIEJ,Warszawa,69.90236382666667,98.78970532,clviii liceum ogólnokształcące z oddziałami dwujęzycznymi im. księżnej izabeli czartoryskiej,Miasto na prawach powiatu,MAZOWIECKIE,591.0,Ursynów,CLVIII LICEUM OGÓLNOKSZTAŁCĄCE Z ODDZIAŁAMI DWUJĘZYCZNYMI IM. KSIĘŻNEJ IZABELI CZARTORYSKIEJ,"ogólnodostępny, dwujęzyczny w szkole podstawowej, liceum i technikum"
8,CLXI Liceum Ogólnokształcące im. Władysława Bartoszewskiego,Warszawie,138.65833333333333,ul. Smocza 19 01-051 Warszawa Wola,Warszawa,8,40982,73,VIII LICEUM OGÓLNOKSZTAŁCĄCE IM. WŁADYSŁAWA IV,VIII LICEUM OGÓLNOKSZTAŁCĄCE IM. WŁADYSŁAWA IV,Warszawa,80.06814059,100.0,viii liceum ogólnokształcące im. władysława iv,Miasto na prawach powiatu,MAZOWIECKIE,622.0,Praga-Północ,VIII LICEUM OGÓLNOKSZTAŁCĄCE IM. WŁADYSŁAWA IV,ogólnodostępny
9,CLXII LO im. Szarych Szeregów,Warszawie,88.67142857142856,ul. Turmoncka 2 03-254 Warszawa Targówek,Warszawa,9,267034,73,CLXII LICEUM OGÓLNOKSZTAŁCĄCE IM. SZARYCH SZEREGÓW,CLXII LICEUM OGÓLNOKSZTAŁCĄCE IM. SZARYCH SZEREGÓW,Warszawa,63.778111550000006,98.96703296666665,clxii liceum ogólnokształcące im. szarych szeregów,Miasto na prawach powiatu,MAZOWIECKIE,487.0,Targówek,CLXII LICEUM OGÓLNOKSZTAŁCĄCE IM. SZARYCH SZEREGÓW,"ogólnodostępny, integracyjny, sportowy"
10,CLXIII Liceum Ogólnokształcące,Warszawie,160.85,ul. Klimatyczna 1 05-077 Warszawa Wesoła,Warszawa,10,270871,100,CLXIII LICEUM OGÓLNOKSZTAŁCĄCE,CLXIII LICEUM OGÓLNOKSZTAŁCĄCE,Warszawa,71.88199623666667,99.06929304333335,clxiii liceum ogólnokształcące,Miasto na prawach powiatu,MAZOWIECKIE,601.0,Wesoła,CLXIII LICEUM OGÓLNOKSZTAŁCĄCE IM. CZESŁAWA NIEMENA,ogólnodostępny
11,CLXIV Liceum Ogólnokształcące Mistrzostwa Sportowego,Warszawie,94.36666666666667,ul. Chełmska 23 00-724 Warszawa Mokotów,Warszawa,11,271907,100,CLXIV LICEUM OGÓLNOKSZTAŁCĄCE MISTRZOSTWA SPORTOWEGO,CLXIV LICEUM OGÓLNOKSZTAŁCĄCE MISTRZOSTWA SPORTOWEGO,Warszawa,61.62008011333334,94.67084639666666,clxiv liceum ogólnokształcące mistrzostwa sportowego,Miasto na prawach powiatu,MAZOWIECKIE,168.0,Mokotów,CLXIV LICEUM OGÓLNOKSZTAŁCĄCE MISTRZOSTWA SPORTOWEGO,"ogólnodostępny, mistrzostwa sportowego"
12,CLXV Liceum Ogólnokształcące,Warszawie,122.44000000000001,ul. Ostródzka 175 03-289 Warszawa Białołęka,Warszawa,12,274376,100,CLXV LICEUM OGÓLNOKSZTAŁCĄCE,CLXV LICEUM OGÓLNOKSZTAŁCĄCE,Warszawa,72.296731025,100.0,clxv liceum ogólnokształcące,Miasto na prawach powiatu,MAZOWIECKIE,500.0,Białołęka,CLXV LICEUM OGÓLNOKSZTAŁCĄCE,"ogólnodostępny, integracyjny"
