index,school,city,threshold,address,city_clean,threshold_idx,RSPO,match_score,matched_nazwa,nazwa_szkoły,miejscowosc,PPP_mean,O_zdawalnosc,match_key,organ_prowadzacy,wojewodztwo,liczba_uczniow,miejscowosc_rspo,nazwa_rspo,specyfika,diff_polski_zdawalnosc,abs_diff_polski_zdawalnosc,expected_PPP,threshold_discrepancy,abs_threshold_discrepancy
1,CII LO z Oddziałami Integracyjnymi im. Księdza Józefa Woźniaka,Warszawie,109.8,Warszawa ul. Bartnicza 2 03-358,Warszawa,1,56463,84,CII LICEUM OGÓLNOKSZTAŁCĄCE Z ODDZIAŁAMI INTEGRACYJNYMI IM. KSIĘDZA JÓZEFA WOŹNIAKA,CII LICEUM OGÓLNOKSZTAŁCĄCE Z ODDZIAŁAMI INTEGRACYJNYMI IM. KSIĘDZA JÓZEFA WOŹNIAKA,Warszawa,57.98411014333333,64.98042187333333,cii liceum ogólnokształcące z oddziałami integracyjnymi im. księdza józefa woźniaka,Miasto na prawach powiatu,MAZOWIECKIE,312.0,Targówek,CII LICEUM OGÓLNOKSZTAŁCĄCE Z ODDZIAŁAMI INTEGRACYJNYMI IM. KSIĘDZA JÓZEFA WOŹNIAKA,integracyjny,-6.996311729999995,6.996311729999995,63.38545882577525,-5.40134868244192,5.40134868244192
2,CLIX LO im. Króla Jana III Sobieskiego,Warszawie,160.501,ul. Solipska 17/19 02-482 Warszawa Włochy,Warszawa,2,133795,78,CLIX LICEUM OGÓLNOKSZTAŁCĄCE IM. KRÓLA JANA III SOBIESKIEGO,CLIX LICEUM OGÓLNOKSZTAŁCĄCE IM. KRÓLA JANA III SOBIESKIEGO,Warszawa,71.75538206333333,99.84276729666664,clix liceum ogólnokształcące im. króla jana iii sobieskiego,Miasto na prawach powiatu,MAZOWIECKIE,810.0,Włochy,CLIX LICEUM OGÓLNOKSZTAŁCĄCE IM. KRÓLA JANA III SOBIESKIEGO,"ogólnodostępny, dwujęzyczny w szkole podstawowej, liceum i technikum",-28.087385233333308,28.087385233333308,72.17864719721959,-0.42326513388626097,0.42326513388626097
3,CLV LO z Oddziałami Dwujęzycznymi im. Bohaterek Powstania Warszawskiego,Warszawie,146.23999999999998,ul. Wojciecha Żywnego 25 02-701 Warszawa,Warszawa,3,133453,86,CLV LICEUM OGÓLNOKSZTAŁCĄCE Z ODDZIAŁAMI DWUJĘZYCZNYMI IM. BOHATEREK POWSTANIA WARSZAWSKIEGO,CLV LICEUM OGÓLNOKSZTAŁCĄCE Z ODDZIAŁAMI DWUJĘZYCZNYMI IM. BOHATEREK POWSTANIA WARSZAWSKIEGO,Warszawa,78.53552133,100.0,clv liceum ogólnokształcące z oddziałami dwujęzycznymi im. bohaterek powstania warszawskiego,Miasto na prawach powiatu,MAZOWIECKIE,773.0,Mokotów,CLV LICEUM OGÓLNOKSZTAŁCĄCE Z ODDZIAŁAMI DWUJĘZYCZNYMI IM. BOHATEREK POWSTANIA WARSZAWSKIEGO,"ogólnodostępny, dwujęzyczny w szkole podstawowej, liceum i technikum",-21.464478670000005,21.464478670000005,69.70532991816853,8.830191411831464,8.830191411831464
5,CLVII LO im. Marii Skłodowskiej - Curie,Warszawie,166.92857142857142,ul. Świętokrzyska 18A 00-052 Warszawa Śródmieście,Warszawa,5,263334,76,CLVII LICEUM OGÓLNOKSZTAŁCĄCE IM. MARII SKŁODOWSKIEJ-CURIE,CLVII LICEUM OGÓLNOKSZTAŁCĄCE IM. MARII SKŁODOWSKIEJ-CURIE,Warszawa,77.63825829,100.0,clvii liceum ogólnokształcące im. marii skłodowskiej-curie,Miasto na prawach powiatu,MAZOWIECKIE,735.0,Śródmieście,CLVII LICEUM OGÓLNOKSZTAŁCĄCE IM. MARII SKŁODOWSKIEJ-CURIE,ogólnodostępny,-22.361741710000004,22.361741710000004,73.29339535489581,4.344862935104189,4.344862935104189
6,CLVIII LO z Oddziałami Dwujęzycznymi im. Księżnej Izabeli Czartoryjskiej,Warszawie,167.92,ul. Stefana Szolc-Rogozińskiego 2 02-777 Warszawa Ursynów,Warszawa,6,133365,86,CLVIII LICEUM OGÓLNOKSZTAŁCĄCE Z ODDZIAŁAMI DWUJĘZYCZNYMI IM. KSIĘŻNEJ IZABELI CZARTORYSKIEJ,CLVIII LICEUM OGÓLNOKSZTAŁCĄCE Z ODDZIAŁAMI DWUJĘZYCZNYMI IM. KSIĘŻNEJ IZABELI CZARTORYSKIEJ,Warszawa,69.90236382666667,98.78970532,clviii liceum ogólnokształcące z oddziałami dwujęzycznymi im. księżnej izabeli czartoryskiej,Miasto na prawach powiatu,MAZOWIECKIE,591.0,Ursynów,CLVIII LICEUM OGÓLNOKSZTAŁCĄCE Z ODDZIAŁAMI DWUJĘZYCZNYMI IM. KSIĘŻNEJ IZABELI CZARTORYSKIEJ,"ogólnodostępny, dwujęzyczny w szkole podstawowej, liceum i technikum",-28.887341493333324,28.887341493333324,73.46534104009736,-3.5629772134306847,3.5629772134306847
8,CLXI Liceum Ogólnokształcące im. Władysława Bartoszewskiego,Warszawie,138.65833333333333,ul. Smocza 19 01-051 Warszawa Wola,Warszawa,8,40982,73,VIII LICEUM OGÓLNOKSZTAŁCĄCE IM. WŁADYSŁAWA IV,VIII LICEUM OGÓLNOKSZTAŁCĄCE IM. WŁADYSŁAWA IV,Warszawa,80.06814059,100.0,viii liceum ogólnokształcące im. władysława iv,Miasto na prawach powiatu,MAZOWIECKIE,622.0,Praga-Północ,VIII LICEUM OGÓLNOKSZTAŁCĄCE IM. WŁADYSŁAWA IV,ogólnodostępny,-19.93185941,19.93185941,68.39042442972648,11.677716160273519,11.677716160273519
10,CLXIII Liceum Ogólnokształcące,Warszawie,160.85,ul. Klimatyczna 1 05-077 Warszawa Wesoła,Warszawa,10,270871,100,CLXIII LICEUM OGÓLNOKSZTAŁCĄCE,CLXIII LICEUM OGÓLNOKSZTAŁCĄCE,Warszawa,71.88199623666667,99.06929304333336,clxiii liceum ogólnokształcące,Miasto na prawach powiatu,MAZOWIECKIE,601.0,Wesoła,CLXIII LICEUM OGÓLNOKSZTAŁCĄCE IM. CZESŁAWA NIEMENA,ogólnodostępny,-27.187296806666694,27.187296806666694,72.23917505153477,-0.35717881486810654,0.35717881486810654
12,CLXV Liceum Ogólnokształcące,Warszawie,122.44,ul. Ostródzka 175 03-289 Warszawa Białołęka,Warszawa,12,274376,100,CLXV LICEUM OGÓLNOKSZTAŁCĄCE,CLXV LICEUM OGÓLNOKSZTAŁCĄCE,Warszawa,72.296731025,100.0,clxv liceum ogólnokształcące,Miasto na prawach powiatu,MAZOWIECKIE,500.0,Białołęka,CLXV LICEUM OGÓLNOKSZTAŁCĄCE,"ogólnodostępny, integracyjny",-27.703268975,27.703268975,65.57764243191826,6.719088593081736,6.719088593081736
13,CLXVI Liceum Ogólnokształcące Z Oddziałami Sportowymi,Warszawie,205.4625,ul. Koncertowa 4 02-787 Warszawa Ursynów,Warszawa,13,25173,75,XCII LICEUM OGÓLNOKSZTAŁCĄCE Z ODDZIAŁAMI INTEGRACYJNYMI,XCII LICEUM OGÓLNOKSZTAŁCĄCE Z ODDZIAŁAMI INTEGRACYJNYMI,Warszawa,59.46868823,88.99707396000001,xcii liceum ogólnokształcące z oddziałami integracyjnymi,Miasto na prawach powiatu,MAZOWIECKIE,322.0,Wola,XCII LICEUM OGÓLNOKSZTAŁCĄCE Z ODDZIAŁAMI INTEGRACYJNYMI,"ogólnodostępny, integracyjny",-29.52838573000001,29.52838573000001,79.97642118516252,-20.507732955162524,20.507732955162524
14,CV LO im. Zbigniewa Herberta,Warszawie,146.55416666666667,ul. Vincenta van Gogha 1 03-188 Warszawa Białołęka,Warszawa,14,110260,73,CV LICEUM OGÓLNOKSZTAŁCĄCE IM.ZBIGNIEWA HERBERTA,CV LICEUM OGÓLNOKSZTAŁCĄCE IM.ZBIGNIEWA HERBERTA,Warszawa,70.94106518,100.0,cv liceum ogólnokształcące im.zbigniewa herberta,Miasto na prawach powiatu,MAZOWIECKIE,853.0,Białołęka,CV LICEUM OGÓLNOKSZTAŁCĄCE IM.ZBIGNIEWA HERBERTA,ogólnodostępny,-29.058934820000005,29.058934820000005,69.75981654920201,1.181248630797981,1.181248630797981
15,CX LO im. Roberta Schumana,Warszawie,130.45,ul. Jana III Sobieskiego 68 02-930 Warszawa Mokotów,Warszawa,15,83621,71,CX LICEUM OGÓLNOKSZTAŁCĄCE IM. ROBERTA SCHUMANA,CX LICEUM OGÓLNOKSZTAŁCĄCE IM. ROBERTA SCHUMANA,Warszawa,63.37260933,95.92666334666669,cx liceum ogólnokształcące im. roberta schumana,Miasto na prawach powiatu,MAZOWIECKIE,386.0,Mokotów,CX LICEUM OGÓLNOKSZTAŁCĄCE IM. ROBERTA SCHUMANA,ogólnodostępny,-32.55405401666668,32.55405401666668,66.966834732963,-3.5942254029629908,3.5942254029629908
16,CXI LO z Oddziałami Integracyjnymi im. Stefana Kisielewskiego,Warszawie,103.4,ul. Szczawnicka 1 04-089 Warszawa Praga-Południe,Warszawa,16,24585,84,CXI LICEUM OGÓLNOKSZTAŁCĄCE Z ODDZIAŁAMI INTEGRACYJNYMI IM. STEFANA KISIELEWSKIEGO,CXI LICEUM OGÓLNOKSZTAŁCĄCE Z ODDZIAŁAMI INTEGRACYJNYMI IM. STEFANA KISIELEWSKIEGO,Warszawa,50.11611517666668,61.33540372666667,cxi liceum ogólnokształcące z oddziałami integracyjnymi im. stefana kisielewskiego,Miasto na prawach powiatu,MAZOWIECKIE,303.0,Praga-Południe,CXI LICEUM OGÓLNOKSZTAŁCĄCE Z ODDZIAŁAMI INTEGRACYJNYMI IM. STEFANA KISIELEWSKIEGO,"ogólnodostępny, integracyjny",-11.219288549999987,11.219288549999987,62.275492442918036,-12.159377266251354,12.159377266251354
18,CXIX LO im. Jacka Kuronia,Warszawie,146.60625000000002,ul. Złota 58 00-821 Warszawa Wola,Warszawa,18,16429,71,CXIX LICEUM OGÓLNOKSZTAŁCĄCE IM. JACKA KURONIA,CXIX LICEUM OGÓLNOKSZTAŁCĄCE IM. JACKA KURONIA,Warszawa,74.59429126666667,99.63768116,cxix liceum ogólnokształcące im. jacka kuronia,Miasto na prawach powiatu,MAZOWIECKIE,503.0,Wola,CXIX LICEUM OGÓLNOKSZTAŁCĄCE IM. JACKA KURONIA,ogólnodostępny,-25.043389893333327,25.043389893333327,69.76884947875001,4.82544178791666,4.82544178791666
