index,school,city,threshold,address,city_clean,threshold_idx,RSPO,match_score,matched_nazwa,nazwa_szkoły,miejscowosc,PPP_mean,O_zdawalnosc,match_key,organ_prowadzacy,wojewodztwo,liczba_uczniow,miejscowosc_rspo,nazwa_rspo,specyfika,diff_polski_zdawalnosc,abs_diff_polski_zdawalnosc,expected_PPP,threshold_discrepancy,abs_threshold_discrepancy
352,XXII Liceum Ogólnokształcące im. Generała Bronisława Ducha w Krakowie,Krakowie,0.0,os. Osiedle Szkolne 26 31-977 Kraków Nowa Huta,Kraków,352,21317,77,XXVII LICEUM OGÓLNOKSZTAŁCĄCE IM. DR. HENRYKA JORDANA W KRAKOWIE,XXVII LICEUM OGÓLNOKSZTAŁCĄCE IM. DR. HENRYKA JORDANA W KRAKOWIE,Kraków,65.18442115666667,98.48133848333332,xxvii liceum ogólnokształcące im. dr. henryka jordana w krakowie,Miasto na prawach powiatu,MAŁOPOLSKIE,869.0,Kraków-Krowodrza,XXVII LICEUM OGÓLNOKSZTAŁCĄCE IM. DR. HENRYKA JORDANA W KRAKOWIE,ogólnodostępny,-33.296917326666644,33.296917326666644,44.34259806988113,20.841823086785546,20.841823086785546
349,XXI Liceum Ogólnokształcące im. Stanisława Ignacego Witkiewicza-witkacego w Krakowie,Krakowie,69.55000000000001,os. Osiedle Tysiąclecia 15 31-606 Kraków Nowa Huta,Kraków,349,4434,100,XXI LICEUM OGÓLNOKSZTAŁCĄCE IM. STANISŁAWA IGNACEGO WITKIEWICZA-WITKACEGO W KRAKOWIE,XXI LICEUM OGÓLNOKSZTAŁCĄCE IM. STANISŁAWA IGNACEGO WITKIEWICZA-WITKACEGO W KRAKOWIE,Kraków,71.71064814666666,93.45238095333332,xxi liceum ogólnokształcące im. stanisława ignacego witkiewicza-witkacego w krakowie,Miasto na prawach powiatu,MAŁOPOLSKIE,143.0,Kraków-Nowa Huta,XXI LICEUM OGÓLNOKSZTAŁCĄCE IM. STANISŁAWA IGNACEGO WITKIEWICZA-WITKACEGO W KRAKOWIE,ogólnodostępny,-21.74173280666666,21.74173280666666,56.40481087108729,15.305837275579364,15.305837275579364
90,IV LO im. Henryka Sienkiewicza,Częstochowie,82.8,al. Aleja Najświętszej Maryi Panny 56 42-217 Częstochowa Śródmieście,Częstochowie,90,12034,75,LICEUM OGÓLNOKSZTAŁCĄCE IM. HENRYKA SIENKIEWICZA,LICEUM OGÓLNOKSZTAŁCĄCE IM. HENRYKA SIENKIEWICZA,Września,70.68780895666667,99.07139644,liceum ogólnokształcące im. henryka sienkiewicza,Powiat ziemski,WIELKOPOLSKIE,645.0,Września,LICEUM OGÓLNOKSZTAŁCĄCE IM. HENRYKA SIENKIEWICZA,"ogólnodostępny, dwujęzyczny w szkole podstawowej, liceum i technikum",-28.38358748333333,28.38358748333333,58.702788148096374,11.985020808570297,11.985020808570297
8,CLXI Liceum Ogólnokształcące im. Władysława Bartoszewskiego,Warszawie,138.65833333333333,ul. Smocza 19 01-051 Warszawa Wola,Warszawa,8,40982,73,VIII LICEUM OGÓLNOKSZTAŁCĄCE IM. WŁADYSŁAWA IV,VIII LICEUM OGÓLNOKSZTAŁCĄCE IM. WŁADYSŁAWA IV,Warszawa,80.06814059,100.0,viii liceum ogólnokształcące im. władysława iv,Miasto na prawach powiatu,MAZOWIECKIE,622.0,Praga-Północ,VIII LICEUM OGÓLNOKSZTAŁCĄCE IM. WŁADYSŁAWA IV,ogólnodostępny,-19.93185941,19.93185941,68.39042442972648,11.677716160273519,11.677716160273519
161,Publiczne Liceum Ogólnokształcące Zakonu Pijarów im. Św. Józefa Kalasancjusza w Poznaniu,Poznaniu,83.48333333333333,os. Jana III Sobieskiego 114 60-688 Poznań Stare Miasto,Poznań,161,83953,100,PUBLICZNE LICEUM OGÓLNOKSZTAŁCĄCE ZAKONU PIJARÓW IM. ŚW. JÓZEFA KALASANCJUSZA W POZNANIU,PUBLICZNE LICEUM OGÓLNOKSZTAŁCĄCE ZAKONU PIJARÓW IM. ŚW. JÓZEFA KALASANCJUSZA W POZNANIU,Poznań,68.78503361333333,98.95807895666668,publiczne liceum ogólnokształcące zakonu pijarów im. św. józefa kalasancjusza w poznaniu,Organizacje Wyznaniowe,WIELKOPOLSKIE,262.0,Poznań-Stare Miasto,PUBLICZNE LICEUM OGÓLNOKSZTAŁCĄCE ZAKONU PIJARÓW IM. ŚW. JÓZEFA KALASANCJUSZA W POZNANIU,ogólnodostępny,-30.173045343333357,30.173045343333357,58.82130018376602,9.963733429567306,9.963733429567306
84,III Liceum Ogólnokształcące z Oddziałami Dwujęzycznymi w ZSO im. Stefana Żeromskiego,Bielsku-Białej,159.98,ul. Bohaterów Warszawy 20 43-300 Bielsko-Biała,Bielsku-Białej,84,16426,93,XL LICEUM OGÓLNOKSZTAŁCĄCE Z ODDZIAŁAMI DWUJĘZYCZNYMI IM. STEFANA ŻEROMSKIEGO,XL LICEUM OGÓLNOKSZTAŁCĄCE Z ODDZIAŁAMI DWUJĘZYCZNYMI IM. STEFANA ŻEROMSKIEGO,Warszawa,81.78212007666667,100.0,xl liceum ogólnokształcące z oddziałami dwujęzycznymi im. stefana żeromskiego,Miasto na prawach powiatu,MAZOWIECKIE,723.0,Wola,XL LICEUM OGÓLNOKSZTAŁCĄCE Z ODDZIAŁAMI DWUJĘZYCZNYMI IM. STEFANA ŻEROMSKIEGO,"ogólnodostępny, dwujęzyczny w szkole podstawowej, liceum i technikum",-18.217879923333328,18.217879923333328,72.08828899636512,9.69383108030155,9.69383108030155
3,CLV LO z Oddziałami Dwujęzycznymi im. Bohaterek Powstania Warszawskiego,Warszawie,146.23999999999998,ul. Wojciecha Żywnego 25 02-701 Warszawa,Warszawa,3,133453,86,CLV LICEUM OGÓLNOKSZTAŁCĄCE Z ODDZIAŁAMI DWUJĘZYCZNYMI IM. BOHATEREK POWSTANIA WARSZAWSKIEGO,CLV LICEUM OGÓLNOKSZTAŁCĄCE Z ODDZIAŁAMI DWUJĘZYCZNYMI IM. BOHATEREK POWSTANIA WARSZAWSKIEGO,Warszawa,78.53552133,100.0,clv liceum ogólnokształcące z oddziałami dwujęzycznymi im. bohaterek powstania warszawskiego,Miasto na prawach powiatu,MAZOWIECKIE,773.0,Mokotów,CLV LICEUM OGÓLNOKSZTAŁCĄCE Z ODDZIAŁAMI DWUJĘZYCZNYMI IM. BOHATEREK POWSTANIA WARSZAWSKIEGO,"ogólnodostępny, dwujęzyczny w szkole podstawowej, liceum i technikum",-21.464478670000005,21.464478670000005,69.70532991816853,8.830191411831464,8.830191411831464
31,I LO im. Juliusza Słowackiego,Częstochowie,131.9375,al. Aleja Tadeusza Kościuszki 8 42-202 Częstochowa Śródmieście,Częstochowie,31,38949,74,I LICEUM OGÓLNOKSZTAŁCĄCE IM. JULIUSZA SŁOWACKIEGO,I LICEUM OGÓLNOKSZTAŁCĄCE IM. JULIUSZA SŁOWACKIEGO,Częstochowa,75.61917927333333,99.75308642,i liceum ogólnokształcące im. juliusza słowackiego,Miasto na prawach powiatu,ŚLĄSKIE,644.0,Częstochowa,I LICEUM OGÓLNOKSZTAŁCĄCE IM. JULIUSZA SŁOWACKIEGO,ogólnodostępny,-24.133907146666672,24.133907146666672,67.22481520085364,8.39436407247969,8.39436407247969
374,XXVII LO im. Tadeusza Czackiego,Warszawie,179.4,ul. Polna 5 00-625 Warszawa Śródmieście,Warszawa,374,25956,75,XXVII LICEUM OGÓLNOKSZTAŁCĄCE IM. TADEUSZA CZACKIEGO,XXVII LICEUM OGÓLNOKSZTAŁCĄCE IM. TADEUSZA CZACKIEGO,Warszawa,83.73394109333333,100.0,xxvii liceum ogólnokształcące im. tadeusza czackiego,Miasto na prawach powiatu,MAZOWIECKIE,567.0,Śródmieście,XXVII LICEUM OGÓLNOKSZTAŁCĄCE IM. TADEUSZA CZACKIEGO,ogólnodostępny,-16.26605890666667,16.26605890666667,75.45634323934749,8.277597853985839,8.277597853985839
110,IX LO im. Klementyny Hoffmanowej,Warszawie,176.86666666666665,ul. Hoża 88 00-682 Warszawa Śródmieście,Warszawa,110,27858,76,IX LICEUM OGÓLNOKSZTAŁCĄCE IM. KLEMENTYNY HOFFMANOWEJ,IX LICEUM OGÓLNOKSZTAŁCĄCE IM. KLEMENTYNY HOFFMANOWEJ,Warszawa,83.19634836333334,100.0,ix liceum ogólnokształcące im. klementyny hoffmanowej,Miasto na prawach powiatu,MAZOWIECKIE,1165.0,Śródmieście,IX LICEUM OGÓLNOKSZTAŁCĄCE IM. KLEMENTYNY HOFFMANOWEJ,ogólnodostępny,-16.803651636666658,16.803651636666658,75.01698154613317,8.179366817200176,8.179366817200176
