index,school,city,threshold,address,city_clean,threshold_idx,RSPO,match_score,matched_nazwa,nazwa_szkoły,miejscowosc,PPP_mean,O_zdawalnosc,match_key,organ_prowadzacy,wojewodztwo,liczba_uczniow,miejscowosc_rspo,nazwa_rspo,specyfika,diff_polski_zdawalnosc,abs_diff_polski_zdawalnosc,expected_PPP,threshold_discrepancy,abs_threshold_discrepancy
23,Europejskie Liceum Ogólnokształcące we Wrocławiu,Wroclaw,57.625,Wrocław ul. Marszowicka 150 54-078,Wrocław,23,21328,80,"ZAOCZNE LICEUM OGÓLNOKSZTAŁCĄCE ""COSINUS"" WE WROCŁAWIU","ZAOCZNE LICEUM OGÓLNOKSZTAŁCĄCE ""COSINUS"" WE WROCŁAWIU",Wrocław,42.494222750000006,32.61682243,"zaoczne liceum ogólnokształcące ""cosinus"" we wrocławiu",Fundacje,DOLNOŚLĄSKIE,1145.0,Wrocław-Krzyki,"ZAOCZNE LICEUM OGÓLNOKSZTAŁCĄCE ""COSINUS"" WE WROCŁAWIU",ogólnodostępny,9.877400320000007,9.877400320000007,54.336631321779116,-11.84240857177911,11.84240857177911
397,XXXVII Liceum Ogólnokształcące Z Oddziałami Terapeutycznymi,Poznaniu,27.95,ul. Klaudyny Potockiej 38 60-521 Poznań Grunwald,Poznań,397,133672,100,XXXVII LICEUM OGÓLNOKSZTAŁCĄCE Z ODDZIAŁAMI TERAPEUTYCZNYMI,XXXVII LICEUM OGÓLNOKSZTAŁCĄCE Z ODDZIAŁAMI TERAPEUTYCZNYMI,Poznań,38.48626919666666,32.769360266666666,xxxvii liceum ogólnokształcące z oddziałami terapeutycznymi,Miasto na prawach powiatu,WIELKOPOLSKIE,260.0,Poznań-Grunwald,XXXVII LICEUM OGÓLNOKSZTAŁCĄCE Z ODDZIAŁAMI TERAPEUTYCZNYMI IM. JANA PAWŁA II W POZNANIU,"ogólnodostępny, terapeutyczny",5.716908929999995,5.716908929999995,49.19002938251538,-10.703760185848715,10.703760185848715
1,CII LO z Oddziałami Integracyjnymi im. Księdza Józefa Woźniaka,Warszawie,109.8,Warszawa ul. Bartnicza 2 03-358,Warszawa,1,56463,84,CII LICEUM OGÓLNOKSZTAŁCĄCE Z ODDZIAŁAMI INTEGRACYJNYMI IM. KSIĘDZA JÓZEFA WOŹNIAKA,CII LICEUM OGÓLNOKSZTAŁCĄCE Z ODDZIAŁAMI INTEGRACYJNYMI IM. KSIĘDZA JÓZEFA WOŹNIAKA,Warszawa,57.98411014333333,64.98042187333333,cii liceum ogólnokształcące z oddziałami integracyjnymi im. księdza józefa woźniaka,Miasto na prawach powiatu,MAZOWIECKIE,312.0,Targówek,CII LICEUM OGÓLNOKSZTAŁCĄCE Z ODDZIAŁAMI INTEGRACYJNYMI IM. KSIĘDZA JÓZEFA WOŹNIAKA,integracyjny,-6.996311729999995,6.996311729999995,63.38545882577525,-5.40134868244192,5.40134868244192
151,Liceum Ogólnokształcące Integracyjne w Białymstoku Zespołu Szkół Technicznych I Ogólnokształcących Z Oddziałami Integracyjnymi im. Stanisława Staszica w Białymstoku,Białymstoku,67.0125,Białystok ul. Sienkiewicza 57 15-002 Białystok,Białystok,151,110460,100,LICEUM OGÓLNOKSZTAŁCĄCE INTEGRACYJNE W BIAŁYMSTOKU ZESPOŁU SZKÓŁ TECHNICZNYCH I OGÓLNOKSZTAŁCĄCYCH Z ODDZIAŁAMI INTEGRACYJNYMI IM. STANISŁAWA STASZICA W BIAŁYMSTOKU,LICEUM OGÓLNOKSZTAŁCĄCE INTEGRACYJNE W BIAŁYMSTOKU ZESPOŁU SZKÓŁ TECHNICZNYCH I OGÓLNOKSZTAŁCĄCYCH Z ODDZIAŁAMI INTEGRACYJNYMI IM. STANISŁAWA STASZICA W BIAŁYMSTOKU,Białystok,57.19230769,67.94871795,liceum ogólnokształcące integracyjne w białymstoku zespołu szkół technicznych i ogólnokształcących z oddziałami integracyjnymi im. stanisława staszica w białymstoku,Miasto na prawach powiatu,PODLASKIE,110.0,Białystok,LICEUM OGÓLNOKSZTAŁCĄCE INTEGRACYJNE W BIAŁYMSTOKU ZESPOŁU SZKÓŁ TECHNICZNYCH I OGÓLNOKSZTAŁCĄCYCH Z ODDZIAŁAMI INTEGRACYJNYMI IM. STANISŁAWA STASZICA W BIAŁYMSTOKU,integracyjny,-10.756410260000003,10.756410260000003,55.96472654350914,1.2275811464908628,1.2275811464908628
16,CXI LO z Oddziałami Integracyjnymi im. Stefana Kisielewskiego,Warszawie,103.4,ul. Szczawnicka 1 04-089 Warszawa Praga-Południe,Warszawa,16,24585,84,CXI LICEUM OGÓLNOKSZTAŁCĄCE Z ODDZIAŁAMI INTEGRACYJNYMI IM. STEFANA KISIELEWSKIEGO,CXI LICEUM OGÓLNOKSZTAŁCĄCE Z ODDZIAŁAMI INTEGRACYJNYMI IM. STEFANA KISIELEWSKIEGO,Warszawa,50.11611517666668,61.33540372666667,cxi liceum ogólnokształcące z oddziałami integracyjnymi im. stefana kisielewskiego,Miasto na prawach powiatu,MAZOWIECKIE,303.0,Praga-Południe,CXI LICEUM OGÓLNOKSZTAŁCĄCE Z ODDZIAŁAMI INTEGRACYJNYMI IM. STEFANA KISIELEWSKIEGO,"ogólnodostępny, integracyjny",-11.219288549999987,11.219288549999987,62.275492442918036,-12.159377266251354,12.159377266251354
374,XXVII LO im. Tadeusza Czackiego,Warszawie,179.4,ul. Polna 5 00-625 Warszawa Śródmieście,Warszawa,374,25956,75,XXVII LICEUM OGÓLNOKSZTAŁCĄCE IM. TADEUSZA CZACKIEGO,XXVII LICEUM OGÓLNOKSZTAŁCĄCE IM. TADEUSZA CZACKIEGO,Warszawa,83.73394109333333,100.0,xxvii liceum ogólnokształcące im. tadeusza czackiego,Miasto na prawach powiatu,MAZOWIECKIE,567.0,Śródmieście,XXVII LICEUM OGÓLNOKSZTAŁCĄCE IM. TADEUSZA CZACKIEGO,ogólnodostępny,-16.26605890666667,16.26605890666667,75.45634323934749,8.277597853985839,8.277597853985839
110,IX LO im. Klementyny Hoffmanowej,Warszawie,176.86666666666665,ul. Hoża 88 00-682 Warszawa Śródmieście,Warszawa,110,27858,76,IX LICEUM OGÓLNOKSZTAŁCĄCE IM. KLEMENTYNY HOFFMANOWEJ,IX LICEUM OGÓLNOKSZTAŁCĄCE IM. KLEMENTYNY HOFFMANOWEJ,Warszawa,83.19634836333334,100.0,ix liceum ogólnokształcące im. klementyny hoffmanowej,Miasto na prawach powiatu,MAZOWIECKIE,1165.0,Śródmieście,IX LICEUM OGÓLNOKSZTAŁCĄCE IM. KLEMENTYNY HOFFMANOWEJ,ogólnodostępny,-16.803651636666658,16.803651636666658,75.01698154613317,8.179366817200176,8.179366817200176
338,XVIII Liceum Ogólnokształcące im. Stanisławy Filipiny Paleolog w Lublinie,Lublinie,54.5,ul. Przyjaźni 12 20-314 Lublin,Lublin,338,68477,100,XVIII LICEUM OGÓLNOKSZTAŁCĄCE IM. STANISŁAWY FILIPINY PALEOLOG W LUBLINIE,XVIII LICEUM OGÓLNOKSZTAŁCĄCE IM. STANISŁAWY FILIPINY PALEOLOG W LUBLINIE,Lublin,56.901315790000005,74.19908467,xviii liceum ogólnokształcące im. stanisławy filipiny paleolog w lublinie,Miasto na prawach powiatu,LUBELSKIE,264.0,Lublin,XVIII LICEUM OGÓLNOKSZTAŁCĄCE IM. STANISŁAWY FILIPINY PALEOLOG W LUBLINIE,ogólnodostępny,-17.29776888,17.29776888,53.79465554889961,3.1066602411003927,3.1066602411003927
84,III Liceum Ogólnokształcące z Oddziałami Dwujęzycznymi w ZSO im. Stefana Żeromskiego,Bielsku-Białej,159.98,ul. Bohaterów Warszawy 20 43-300 Bielsko-Biała,Bielsku-Białej,84,16426,93,XL LICEUM OGÓLNOKSZTAŁCĄCE Z ODDZIAŁAMI DWUJĘZYCZNYMI IM. STEFANA ŻEROMSKIEGO,XL LICEUM OGÓLNOKSZTAŁCĄCE Z ODDZIAŁAMI DWUJĘZYCZNYMI IM. STEFANA ŻEROMSKIEGO,Warszawa,81.78212007666667,100.0,xl liceum ogólnokształcące z oddziałami dwujęzycznymi im. stefana żeromskiego,Miasto na prawach powiatu,MAZOWIECKIE,723.0,Wola,XL LICEUM OGÓLNOKSZTAŁCĄCE Z ODDZIAŁAMI DWUJĘZYCZNYMI IM. STEFANA ŻEROMSKIEGO,"ogólnodostępny, dwujęzyczny w szkole podstawowej, liceum i technikum",-18.217879923333328,18.217879923333328,72.08828899636512,9.69383108030155,9.69383108030155
334,XVIII LO im. Jana Zamoyskiego,Warszawie,172.38333333333333,ul. Smolna 30 00-375 Warszawa Śródmieście,Warszawa,334,30251,74,XVIII LICEUM OGÓLNOKSZTAŁCĄCE IM. JANA ZAMOYSKIEGO,XVIII LICEUM OGÓLNOKSZTAŁCĄCE IM. JANA ZAMOYSKIEGO,Warszawa,81.63181738666667,100.0,xviii liceum ogólnokształcące im. jana zamoyskiego,Miasto na prawach powiatu,MAZOWIECKIE,828.0,Śródmieście,XVIII LICEUM OGÓLNOKSZTAŁCĄCE IM. JANA ZAMOYSKIEGO,ogólnodostępny,-18.36818261333333,18.36818261333333,74.23942697064204,7.392390416024625,7.392390416024625
