ID_OKE;wojewodztwo;powiat;gmina;typ_gminy;kod_teryt_gminy;RSPO;nazwa_szkoły;miejscowosc;ulica_nr;"typ_placowki
";"rodzaj_placowki
";czy_publiczna;O_otrzymali_swiadectwo_dojrzałosci;O_liczba_zdających;O_zdawalnosc;PPP_liczba_zdajacych;PPP_liczba_laureatow;PPP_zdawalnosc;PPP_mean;PPP_std;PPP_median;PPP_mode;PPU_liczba_zdajacych;PPU_zdawalnosc;PPU_mean;APP_liczba_zdajacych;APP_liczba_laureatow;APP_zdawalnosc;APP_mean;APP_std;APP_median;APP_mode;APU_liczba_zdajacych;APU_zdawalnosc;APU_mean;MP_liczba_zdajacych;MP_liczba_laureatow;MP_zdawalnosc;MP_mean;MP_std;MP_median;MP_mode;AR_liczba_zdajacych;AR_liczba_laureatow;AR_mean;AR_std;AR_median;AR_mode;PR_liczba_zdajacych;PR_liczba_laureatow;PR_mean;PR_std;PR_median;PR_mode
1;Kujawsko-Pomorskie;aleksandrowski;Aleksandrów Kujawski;gmina miejska;0401011;12324;II LICEUM OGÓLNOKSZTAŁCĄCE W ALEKSANDROWIE KUJAWSKIM;Aleksandrów Kujawski;ul. gen. Władysława Sikorskiego 2;liceum;dla młodzieży;Tak;11;17;64.70588235;17;;94.11764706;46.47058824;9.834618609;48;48;17;100;50.94117647;17;;94.11764706;51.41176471;15.59433843;52;62;17;100;53.23529412;17;;64.70588235;37.94117647;18.35746551;33;22;4;;;;;;3;;;;;
1;Kujawsko-Pomorskie;aleksandrowski;Aleksandrów Kujawski;gmina miejska;0401011;4117;LICEUM OGÓLNOKSZTAŁCĄCE TOWARZYSTWA SALEZJAŃSKIEGO IM. KARDYNAŁA AUGUSTA HLONDA;Aleksandrów Kujawski;ul. Fryderyka Chopina 24;liceum;dla młodzieży;Tak;89;91;97.8021978;91;;100;66.96703297;11.96740128;68;68;91;100;75.68131868;91;;100;83.21978022;18.16699229;92;93;91;100;88.75824176;91;;97.8021978;77.12087912;20.18694778;83;100;83;;60.21686747;24.9616806;60;32;13;;31.69230769;25.13160626;20;20
1;Kujawsko-Pomorskie;aleksandrowski;Ciechocinek;gmina miejska;0401021;3513;LICEUM OGÓLNOKSZTAŁCĄCE IM. STANISŁAWA STASZICA W CIECHOCINKU;Ciechocinek;ul. Mikołaja Kopernika 1;liceum;dla młodzieży;Tak;54;54;100;54;;100;55.5;14.82084368;53;50;54;100;73.14814815;54;;100;86.42592593;14.2277791;92;100;54;100;82.92592593;54;;100;72.83333333;17.79903243;72;98;40;;68.4;22.65038631;68;62;16;;23.4375;24.99742174;20;3
1;Kujawsko-Pomorskie;brodnicki;Brodnica;gmina miejska;0402011;53597;I LICEUM OGÓLNOKSZTAŁCĄCE IM. FILOMATÓW ZIEMI MICHAŁOWSKIEJ W BRODNICY;Brodnica;ul. Lidzbarska 14;liceum;dla młodzieży;Tak;114;116;98.27586207;116;;100;66.87068966;11.60226655;66;63;116;100;93.62931034;114;;99.12280702;81.71052632;18.86364911;88;100;114;100;84.51754386;116;;99.13793103;76.05172414;18.67131528;78;96;62;;74.90322581;17.92071218;79;83;21;;35.19047619;20.3811749;34;3
1;Kujawsko-Pomorskie;brodnicki;Brodnica;gmina miejska;0402011;6279;III LICEUM OGÓLNOKSZTAŁCĄCE W BRODNICY;Brodnica;ul. Matejki 5;liceum;dla młodzieży;Tak;107;108;99.07407407;108;;100;66.46296296;11.72242701;65;65;108;100;91.0462963;108;;99.07407407;84.21296296;20.64248178;93;100;108;100;85.47222222;108;;100;76.73148148;18.58643795;81.5;100;88;;69.34090909;22.77502937;75;90;13;;54.76923077;18.88896237;57;49
1;Kujawsko-Pomorskie;brodnicki;Górzno;miasto;0402054;53680;LICEUM OGÓLNOKSZTAŁCĄCE STOWARZYSZENIA PRZYJACIÓŁ SZKÓŁ KATOLICKICH W GÓRZNIE;Górzno;ul. Kościelna 7;liceum;dla młodzieży;Nie;7;9;77.77777778;9;;100;43.66666667;14.06334874;40;35;9;100;89.22222222;9;;100;58.22222222;21.09648616;55;;9;100;65.44444444;9;;77.77777778;40.77777778;21.00675964;33;26;2;;;;;;3;;;;;
1;Kujawsko-Pomorskie;brodnicki;Jabłonowo Pomorskie;miasto;0402074;109600;LICEUM OGÓLNOKSZTAŁCĄCE;Jabłonowo Pomorskie;ul. Nowy Rynek 5;liceum;dla młodzieży;Tak;7;7;100;7;;100;60.57142857;10.44519223;62;50;7;100;56.28571429;7;;100;71.28571429;20.28168974;75;;7;100;51.85714286;7;;100;60.28571429;18.32027983;59;37;3;;;;;;2;;;;;
1;Kujawsko-Pomorskie;bydgoski;Koronowo;miasto;0403044;83543;LICEUM OGÓLNOKSZTAŁCĄCE IM. LEONA WYCZÓŁKOWSKIEGO W KORONOWIE;Koronowo;ul. Szkolna 4;liceum;dla młodzieży;Tak;35;44;79.54545455;44;;93.18181818;53.02272727;18.26010136;52.5;42;44;100;65.45454545;40;;90;68.475;28.61554429;83;98;40;100;62.85;44;;84.09090909;51.22727273;24.76330096;48;26;23;;57.04347826;28.3157327;58;15;10;;28.9;24.30411488;31.5;3
1;Kujawsko-Pomorskie;bydgoski;Solec Kujawski;miasto;0403084;85245;LICEUM OGÓLNOKSZTAŁCĄCE W SOLCU KUJAWSKIM W ZESPOLE SZKÓŁ OGÓLNOKSZTAŁCACYCH I ZAWODOWYCH W SOLCU KUJAWSKIM;Solec Kujawski;ul. 29 Listopada 7;liceum;dla młodzieży;Tak;25;29;86.20689655;30;;96.55172414;49.4;18.65225634;47.5;45;29;96.55172414;50.89655172;30;;96.55172414;76.76666667;22.18810993;84;100;30;100;65.63333333;30;;86.20689655;42.7;13.99797604;41;48;22;;49.45454545;26.69308265;48;10;5;;33;33.85262176;31;
1;Kujawsko-Pomorskie;Bydgoszcz;Bydgoszcz;gmina miejska;0461011;10426;LICEUM OGÓLNOKSZTAŁCĄCE SPECJALNE DLA MŁODZIEZY SŁABO SŁYSZĄCEJ I NIESŁYSZĄCEJ;Bydgoszcz;ul. Akademicka 3;liceum;dla młodzieży;Tak;0;2;;2;;;;;;;2;;;2;;;;;;;2;;;2;;;;;;;2;;;;;;;;;;;
