year,city,school,address,course,threshold
2025/2026,Białymstoku,I LO im. Adama Mickiewicza,Białystok ul. Brukowa 2 15-889 Białystok,Klasa Alfa (mat-biol-chem),178.25
2025/2026,Białymstoku,I LO im. Adama Mickiewicza,Białystok ul. Brukowa 2 15-889 Białystok,Klasa Beta (biol-chem),174.40
2025/2026,Białymstoku,I LO im. Adama Mickiewicza,Białystok ul. Brukowa 2 15-889 Białystok,Klasa Delta (mat-inf-ang),171.90
2025/2026,Białymstoku,I LO im. Adama Mickiewicza,Białystok ul. Brukowa 2 15-889 Białystok,Klasa Epsilon (pol-his-WOS),159.45
2025/2026,Białymstoku,I LO im. Adama Mickiewicza,Białystok ul. Brukowa 2 15-889 Białystok,Klasa Gamma (mat-geo-ang),165.20
2025/2026,Białymstoku,I LO im. Adama Mickiewicza,Białystok ul. Brukowa 2 15-889 Białystok,Klasa Omega (mat-fiz),173.10
2025/2026,Białymstoku,II LO im. księżny Anny z Sapiehów Jabłonowskiej,Białystok ul. Narewska 11 15-840 Białystok,Klasa 1A (politechniczna),173.85
2025/2026,Białymstoku,II LO im. księżny Anny z Sapiehów Jabłonowskiej,Białystok ul. Narewska 11 15-840 Białystok,Klasa 1B (dwujęzyczna - medyczna),176.00
2025/2026,Białymstoku,II LO im. księżny Anny z Sapiehów Jabłonowskiej,Białystok ul. Narewska 11 15-840 Białystok,Klasa 1C grupa 1 (politechniczno-inżynierska),165.10
2025/2026,Białymstoku,II LO im. księżny Anny z Sapiehów Jabłonowskiej,Białystok ul. Narewska 11 15-840 Białystok,Klasa 1C grupa 2 (ekonomiczna),167.35
2025/2026,Białymstoku,II LO im. księżny Anny z Sapiehów Jabłonowskiej,Białystok ul. Narewska 11 15-840 Białystok,Klasa 1D (medyczna),176.85
2025/2026,Białymstoku,II LO im. księżny Anny z Sapiehów Jabłonowskiej,Białystok ul. Narewska 11 15-840 Białystok,Klasa 1E grupa 1 (biol-chem),165.80
2025/2026,Białymstoku,II LO im. księżny Anny z Sapiehów Jabłonowskiej,Białystok ul. Narewska 11 15-840 Białystok,Klasa 1E grupa 2 (uniwersytecka),157.15
2025/2026,Białymstoku,II LO im. księżny Anny z Sapiehów Jabłonowskiej,Białystok ul. Narewska 11 15-840 Białystok,Klasa 1F (oddział międzynarodowy),183.65
2025/2026,Białymstoku,III LO im. K. K. Baczyńskiego,Białystok ul. Pałacowa 2/1 15-042 Białystok,Klasa 1A grupa 1 (humanistyczna - pol-his-łaci i kult anty),157.40
2025/2026,Białymstoku,III LO im. K. K. Baczyńskiego,Białystok ul. Pałacowa 2/1 15-042 Białystok,Klasa 1A grupa 2 (humanistyczna - pol-his-WOS),157.50
2025/2026,Białymstoku,III LO im. K. K. Baczyńskiego,Białystok ul. Pałacowa 2/1 15-042 Białystok,Klasa 1B grupa 1 (mat-fiz-ang),161.05
2025/2026,Białymstoku,III LO im. K. K. Baczyńskiego,Białystok ul. Pałacowa 2/1 15-042 Białystok,Klasa 1B grupa 2 (mat-fiz-ang),156.25
2025/2026,Białymstoku,III LO im. K. K. Baczyńskiego,Białystok ul. Pałacowa 2/1 15-042 Białystok,Klasa 1C grupa 1 (mat-inf-ang),158.50
2025/2026,Białymstoku,III LO im. K. K. Baczyńskiego,Białystok ul. Pałacowa 2/1 15-042 Białystok,Klasa 1C grupa 2 (mat-inf-ang),157.25
2025/2026,Białymstoku,III LO im. K. K. Baczyńskiego,Białystok ul. Pałacowa 2/1 15-042 Białystok,Klasa 1D grupa 1 (mat-geo-ang),163.50
2025/2026,Białymstoku,III LO im. K. K. Baczyńskiego,Białystok ul. Pałacowa 2/1 15-042 Białystok,Klasa 1D grupa 2 (mat-geo-ang),161.00
2025/2026,Białymstoku,III LO im. K. K. Baczyńskiego,Białystok ul. Pałacowa 2/1 15-042 Białystok,Klasa 1E grupa 1 (biol-chem),167.95
2025/2026,Białymstoku,III LO im. K. K. Baczyńskiego,Białystok ul. Pałacowa 2/1 15-042 Białystok,Klasa 1E grupa 2 (biol-chem),165.45
2025/2026,Białymstoku,III LO im. K. K. Baczyńskiego,Białystok ul. Pałacowa 2/1 15-042 Białystok,Klasa 1F grupa 1 (biol-chem-ang),171.60
2025/2026,Białymstoku,III LO im. K. K. Baczyńskiego,Białystok ul. Pałacowa 2/1 15-042 Białystok,Klasa 1F grupa 2 (biol-chem-ang),166.15
2025/2026,Białymstoku,III LO im. K. K. Baczyńskiego,Białystok ul. Pałacowa 2/1 15-042 Białystok,Klasa 1G grupa 1 (mat-chem-ang),166.75
2025/2026,Białymstoku,III LO im. K. K. Baczyńskiego,Białystok ul. Pałacowa 2/1 15-042 Białystok,Klasa 1G grupa 2 (mat-biol-ang),170.85
2025/2026,Białymstoku,III LO im. K. K. Baczyńskiego,Białystok ul. Pałacowa 2/1 15-042 Białystok,Klasa 1S (sportowa -  piłka siatkowa (dziewczyny)),11.20
2025/2026,Białymstoku,III LO im. K. K. Baczyńskiego,Białystok ul. Pałacowa 2/1 15-042 Białystok,Klasa 1S grupa 2 (sportowa -  koszykówka (chłopcy)),14.00
2025/2026,Białymstoku,IV LO im. Cypriana Kamila Norwida,Białystok ul. Zwierzyniecka 9A 15-312 Białystok,Klasa 1A grupa 1 (dziennikarsko-prawnicza),157.85
2025/2026,Białymstoku,IV LO im. Cypriana Kamila Norwida,Białystok ul. Zwierzyniecka 9A 15-312 Białystok,Klasa 1A grupa 2 (dziennikarsko-prawnicza),158.15
2025/2026,Białymstoku,IV LO im. Cypriana Kamila Norwida,Białystok ul. Zwierzyniecka 9A 15-312 Białystok,Klasa 1B grupa 1 (sportowa - lekkoatletyka),32.00
2025/2026,Białymstoku,IV LO im. Cypriana Kamila Norwida,Białystok ul. Zwierzyniecka 9A 15-312 Białystok,Klasa 1B grupa 2 (sportowa - lekkoatletyka),37.00
2025/2026,Białymstoku,IV LO im. Cypriana Kamila Norwida,Białystok ul. Zwierzyniecka 9A 15-312 Białystok,Klasa 1B grupa 3 (sportowa - strzelectwo),28.00
2025/2026,Białymstoku,IV LO im. Cypriana Kamila Norwida,Białystok ul. Zwierzyniecka 9A 15-312 Białystok,Klasa 1B grupa 4 (sportowa - strzelectwo),12.00
2025/2026,Białymstoku,IV LO im. Cypriana Kamila Norwida,Białystok ul. Zwierzyniecka 9A 15-312 Białystok,Klasa 1C grupa 1 (biol-chem),161.80
